acgme_id,program_name,specialty,state,provider,claim_count,claim_fields,review_state,publication_state,reconciliation_status,approved_live_research_fact_count
1201100737,HCA Florida Healthcare/USF Morsani College of Medicine GME - Tampa North/Oak Hill Hospital Program,Family Medicine,FL,PARALLEL,8,research.abim|research.caribbean_accessibility|research.do_accessibility|research.fellowship_inventory|research.img_accessibility|research.leadership|research.resident_roster|research.visa,PENDING,REVIEW_REQUIRED,CANONICAL_IDENTITY_RECONCILED,0
1201100740,University of Central Florida/HCA Florida Healthcare (Ocala) Program,Family Medicine,FL,PARALLEL,8,research.abim|research.caribbean_accessibility|research.do_accessibility|research.fellowship_inventory|research.img_accessibility|research.leadership|research.resident_roster|research.visa,PENDING,REVIEW_REQUIRED,CANONICAL_IDENTITY_RECONCILED,0
1201100747,Larkin Community Hospital Palm Springs Campus Program,Family Medicine,FL,PARALLEL,8,research.abim|research.caribbean_accessibility|research.do_accessibility|research.fellowship_inventory|research.img_accessibility|research.leadership|research.resident_roster|research.visa,PENDING,REVIEW_REQUIRED,CANONICAL_IDENTITY_RECONCILED,0
1201111086,Florida State University College of Medicine Program,Family Medicine,FL,PARALLEL,8,research.abim|research.caribbean_accessibility|research.do_accessibility|research.fellowship_inventory|research.img_accessibility|research.leadership|research.resident_roster|research.visa,PENDING,REVIEW_REQUIRED,CANONICAL_IDENTITY_RECONCILED,0
1201600007,University of Illinois College of Medicine at Peoria (Bloomington) Program,Family Medicine,IL,PARALLEL,8,research.abim|research.caribbean_accessibility|research.do_accessibility|research.fellowship_inventory|research.img_accessibility|research.leadership|research.resident_roster|research.visa,PENDING,REVIEW_REQUIRED,CANONICAL_IDENTITY_RECONCILED,0
1201611100,Cook County Health and Hospitals System Program,Family Medicine,IL,PARALLEL,8,research.abim|research.caribbean_accessibility|research.do_accessibility|research.fellowship_inventory|research.img_accessibility|research.leadership|research.resident_roster|research.visa,PENDING,REVIEW_REQUIRED,CANONICAL_IDENTITY_RECONCILED,0
1201611103,Ascension Illinois/Saint Joseph (Chicago) Program,Family Medicine,IL,PARALLEL,8,research.abim|research.caribbean_accessibility|research.do_accessibility|research.fellowship_inventory|research.img_accessibility|research.leadership|research.resident_roster|research.visa,PENDING,REVIEW_REQUIRED,CANONICAL_IDENTITY_RECONCILED,0
1201612693,Prime Midwest GME Consortium Program,Family Medicine,IL,PARALLEL,8,research.abim|research.caribbean_accessibility|research.do_accessibility|research.fellowship_inventory|research.img_accessibility|research.leadership|research.resident_roster|research.visa,PENDING,REVIEW_REQUIRED,CANONICAL_IDENTITY_RECONCILED,0
1202500004,McLaren Health Care Corporation Program,Family Medicine,MI,PARALLEL,8,research.abim|research.caribbean_accessibility|research.do_accessibility|research.fellowship_inventory|research.img_accessibility|research.leadership|research.resident_roster|research.visa,PENDING,REVIEW_REQUIRED,CANONICAL_IDENTITY_RECONCILED,0
1202500737,McLaren Health Care/Oakland/MSU Program,Family Medicine,MI,PARALLEL,8,research.abim|research.caribbean_accessibility|research.do_accessibility|research.fellowship_inventory|research.img_accessibility|research.leadership|research.resident_roster|research.visa,PENDING,REVIEW_REQUIRED,CANONICAL_IDENTITY_RECONCILED,0
1202500740,Trinity Health Muskegon Program,Family Medicine,MI,PARALLEL,8,research.abim|research.caribbean_accessibility|research.do_accessibility|research.fellowship_inventory|research.img_accessibility|research.leadership|research.resident_roster|research.visa,PENDING,REVIEW_REQUIRED,CANONICAL_IDENTITY_RECONCILED,0
1202500741,Henry Ford Warren Hospital Program,Family Medicine,MI,PARALLEL,8,research.abim|research.caribbean_accessibility|research.do_accessibility|research.fellowship_inventory|research.img_accessibility|research.leadership|research.resident_roster|research.visa,PENDING,REVIEW_REQUIRED,CANONICAL_IDENTITY_RECONCILED,0
1202500745,McLaren Health Care/Greater Lansing/MSU Program,Family Medicine,MI,PARALLEL,8,research.abim|research.caribbean_accessibility|research.do_accessibility|research.fellowship_inventory|research.img_accessibility|research.leadership|research.resident_roster|research.visa,PENDING,REVIEW_REQUIRED,CANONICAL_IDENTITY_RECONCILED,0
1202500746,McLaren Health Care/Bay/MSU Program,Family Medicine,MI,PARALLEL,8,research.abim|research.caribbean_accessibility|research.do_accessibility|research.fellowship_inventory|research.img_accessibility|research.leadership|research.resident_roster|research.visa,PENDING,REVIEW_REQUIRED,CANONICAL_IDENTITY_RECONCILED,0
