program_id,acgme_id,program_name,specialty,state,visa,usmle,comlex,attempts,yog,usce,ecfmg,application_deadline,signaling,resident_roster,resident_medical_school,img_evidence,do_evidence,usmd_evidence,caribbean_evidence,leadership,salary_benefits,size_structure,curriculum_features,fellowship_outcomes
rise_prg_e4078650-3a17-52c8-96d6-21ced2d67c92,1402631204,Abbott-Northwestern Hospital Program,Internal Medicine,MN,AVAILABLE_LIVE,AVAILABLE_LIVE,AVAILABLE_LIVE,NOT_RESEARCHED,AVAILABLE_LIVE,NOT_RESEARCHED,NOT_RESEARCHED,AVAILABLE_LIVE,NOT_RESEARCHED,NOT_RESEARCHED,NOT_RESEARCHED,AVAILABLE_LIVE,AVAILABLE_LIVE,AVAILABLE_LIVE,NOT_RESEARCHED,NOT_RESEARCHED,AVAILABLE_LIVE,AVAILABLE_LIVE,AVAILABLE_LIVE,NOT_RESEARCHED
rise_prg_060e64ca-2516-58f8-a2c7-38fd26e1fbb8,1802600001,Abbott-Northwestern Hospital/Allina Health System Program,Neurology,MN,AVAILABLE_LIVE,AVAILABLE_LIVE,AVAILABLE_LIVE,NOT_RESEARCHED,AVAILABLE_LIVE,NOT_RESEARCHED,NOT_RESEARCHED,AVAILABLE_LIVE,NOT_RESEARCHED,NOT_RESEARCHED,NOT_RESEARCHED,NOT_RESEARCHED,NOT_RESEARCHED,NOT_RESEARCHED,NOT_RESEARCHED,NOT_RESEARCHED,AVAILABLE_LIVE,AVAILABLE_LIVE,AVAILABLE_LIVE,NOT_RESEARCHED
rise_prg_00ca1541-ad92-50c8-818e-342eca13e720,1204111258,Abington Memorial Hospital Program,Family Medicine,PA,AVAILABLE_LIVE,AVAILABLE_LIVE,AVAILABLE_LIVE,NOT_RESEARCHED,AVAILABLE_LIVE,NOT_RESEARCHED,NOT_RESEARCHED,AVAILABLE_LIVE,NOT_RESEARCHED,NOT_RESEARCHED,NOT_RESEARCHED,AVAILABLE_LIVE,AVAILABLE_LIVE,AVAILABLE_LIVE,NOT_RESEARCHED,NOT_RESEARCHED,AVAILABLE_LIVE,AVAILABLE_LIVE,AVAILABLE_LIVE,NOT_RESEARCHED
rise_prg_4820ff31-3819-52bd-9682-cfd0438b0a73,4404112279,Abington Memorial Hospital Program,Surgery-General,AL,AVAILABLE_LIVE,AVAILABLE_LIVE,AVAILABLE_LIVE,NOT_RESEARCHED,AVAILABLE_LIVE,NOT_RESEARCHED,NOT_RESEARCHED,AVAILABLE_LIVE,NOT_RESEARCHED,NOT_RESEARCHED,NOT_RESEARCHED,AVAILABLE_LIVE,AVAILABLE_LIVE,AVAILABLE_LIVE,NOT_RESEARCHED,NOT_RESEARCHED,AVAILABLE_LIVE,AVAILABLE_LIVE,AVAILABLE_LIVE,NOT_RESEARCHED
rise_prg_5a3d8214-fb41-554b-a808-dfded2269ac8,1404112358,Abington Memorial Hospital Program,Internal Medicine,PA,AVAILABLE_LIVE,AVAILABLE_LIVE,AVAILABLE_LIVE,NOT_RESEARCHED,AVAILABLE_LIVE,NOT_RESEARCHED,NOT_RESEARCHED,AVAILABLE_LIVE,NOT_RESEARCHED,EVIDENCE_FOUND_REVIEW_PENDING,EVIDENCE_FOUND_REVIEW_PENDING,AVAILABLE_LIVE,AVAILABLE_LIVE,AVAILABLE_LIVE,EVIDENCE_FOUND_REVIEW_PENDING,EVIDENCE_FOUND_REVIEW_PENDING,AVAILABLE_LIVE,AVAILABLE_LIVE,AVAILABLE_LIVE,EVIDENCE_FOUND_REVIEW_PENDING
rise_prg_d665b01b-bd0f-526c-a91f-79583f94fb45,2204112242,Abington Memorial Hospital Program,Obstetrics and Gynecology,PA,AVAILABLE_LIVE,AVAILABLE_LIVE,NOT_RESEARCHED,NOT_RESEARCHED,AVAILABLE_LIVE,NOT_RESEARCHED,NOT_RESEARCHED,AVAILABLE_LIVE,NOT_RESEARCHED,NOT_RESEARCHED,NOT_RESEARCHED,AVAILABLE_LIVE,AVAILABLE_LIVE,AVAILABLE_LIVE,NOT_RESEARCHED,NOT_RESEARCHED,AVAILABLE_LIVE,AVAILABLE_LIVE,AVAILABLE_LIVE,NOT_RESEARCHED
rise_prg_00bf47e3-25f3-5347-8a9a-9cab261c0bd0,1400300541,Abrazo Health Network Program,Internal Medicine,AZ,NOT_RESEARCHED,AVAILABLE_LIVE,AVAILABLE_LIVE,NOT_RESEARCHED,AVAILABLE_LIVE,NOT_RESEARCHED,NOT_RESEARCHED,AVAILABLE_LIVE,NOT_RESEARCHED,NOT_RESEARCHED,NOT_RESEARCHED,AVAILABLE_LIVE,AVAILABLE_LIVE,AVAILABLE_LIVE,NOT_RESEARCHED,NOT_RESEARCHED,AVAILABLE_LIVE,AVAILABLE_LIVE,AVAILABLE_LIVE,NOT_RESEARCHED
rise_prg_42f9291c-28f3-5134-af63-d602e7883109,1100300205,Abrazo Health Network Program,Emergency Medicine,AZ,NOT_RESEARCHED,AVAILABLE_LIVE,AVAILABLE_LIVE,NOT_RESEARCHED,AVAILABLE_LIVE,NOT_RESEARCHED,NOT_RESEARCHED,AVAILABLE_LIVE,NOT_RESEARCHED,NOT_RESEARCHED,NOT_RESEARCHED,AVAILABLE_LIVE,AVAILABLE_LIVE,AVAILABLE_LIVE,NOT_RESEARCHED,NOT_RESEARCHED,AVAILABLE_LIVE,AVAILABLE_LIVE,AVAILABLE_LIVE,NOT_RESEARCHED
rise_prg_6c019782-625a-530a-bc2c-79db1c9312bb,1200321029,Abrazo Health Network Program,Family Medicine,AZ,RESEARCHED_NOT_FOUND,AVAILABLE_LIVE,AVAILABLE_LIVE,NOT_RESEARCHED,AVAILABLE_LIVE,NOT_RESEARCHED,NOT_RESEARCHED,AVAILABLE_LIVE,NOT_RESEARCHED,RESEARCHED_NOT_FOUND,RESEARCHED_NOT_FOUND,AVAILABLE_LIVE,AVAILABLE_LIVE,AVAILABLE_LIVE,RESEARCHED_NOT_FOUND,EVIDENCE_FOUND_REVIEW_PENDING,AVAILABLE_LIVE,AVAILABLE_LIVE,AVAILABLE_LIVE,RESEARCHED_NOT_FOUND
rise_prg_6eab3aef-fbe0-5bad-95ac-3b69cbbc3623,9990300227,Abrazo Health Network Program,Transitional Year,AZ,NOT_RESEARCHED,AVAILABLE_LIVE,AVAILABLE_LIVE,NOT_RESEARCHED,AVAILABLE_LIVE,NOT_RESEARCHED,NOT_RESEARCHED,AVAILABLE_LIVE,NOT_RESEARCHED,NOT_RESEARCHED,NOT_RESEARCHED,AVAILABLE_LIVE,AVAILABLE_LIVE,AVAILABLE_LIVE,NOT_RESEARCHED,NOT_RESEARCHED,AVAILABLE_LIVE,AVAILABLE_LIVE,AVAILABLE_LIVE,NOT_RESEARCHED
rise_prg_71ad9700-822e-5003-bd62-e71c76a2f726,4400300430,Abrazo Health Network Program,Surgery-General,AZ,NOT_RESEARCHED,AVAILABLE_LIVE,AVAILABLE_LIVE,NOT_RESEARCHED,AVAILABLE_LIVE,NOT_RESEARCHED,NOT_RESEARCHED,AVAILABLE_LIVE,NOT_RESEARCHED,NOT_RESEARCHED,NOT_RESEARCHED,AVAILABLE_LIVE,AVAILABLE_LIVE,AVAILABLE_LIVE,NOT_RESEARCHED,NOT_RESEARCHED,AVAILABLE_LIVE,AVAILABLE_LIVE,AVAILABLE_LIVE,NOT_RESEARCHED
rise_prg_53290e1b-cf1a-5254-979d-b51f2663428d,1205500571,AccessHealth Program,Family Medicine,WV,RESEARCHED_NOT_FOUND,AVAILABLE_LIVE,AVAILABLE_LIVE,NOT_RESEARCHED,AVAILABLE_LIVE,NOT_RESEARCHED,NOT_RESEARCHED,AVAILABLE_LIVE,NOT_RESEARCHED,EVIDENCE_FOUND_REVIEW_PENDING,EVIDENCE_FOUND_REVIEW_PENDING,AVAILABLE_LIVE,AVAILABLE_LIVE,AVAILABLE_LIVE,RESEARCHED_NOT_FOUND,EVIDENCE_FOUND_REVIEW_PENDING,AVAILABLE_LIVE,AVAILABLE_LIVE,AVAILABLE_LIVE,RESEARCHED_NOT_FOUND
rise_prg_22b5fe8d-33cb-5c64-815f-31afb9f8aa1e,4003800282,Adena Regional Medical Center Program,Psychiatry,OH,NOT_RESEARCHED,AVAILABLE_LIVE,AVAILABLE_LIVE,NOT_RESEARCHED,AVAILABLE_LIVE,NOT_RESEARCHED,NOT_RESEARCHED,AVAILABLE_LIVE,NOT_RESEARCHED,NOT_RESEARCHED,NOT_RESEARCHED,AVAILABLE_LIVE,AVAILABLE_LIVE,AVAILABLE_LIVE,NOT_RESEARCHED,NOT_RESEARCHED,AVAILABLE_LIVE,AVAILABLE_LIVE,AVAILABLE_LIVE,NOT_RESEARCHED
rise_prg_b100c894-d721-5e9e-b181-8b199b1d0ca7,1403800539,Adena Regional Medical Center Program,Internal Medicine,OH,EVIDENCE_FOUND_REVIEW_PENDING,AVAILABLE_LIVE,AVAILABLE_LIVE,NOT_RESEARCHED,AVAILABLE_LIVE,NOT_RESEARCHED,NOT_RESEARCHED,AVAILABLE_LIVE,NOT_RESEARCHED,RESEARCHED_NOT_FOUND,RESEARCHED_NOT_FOUND,AVAILABLE_LIVE,AVAILABLE_LIVE,AVAILABLE_LIVE,EVIDENCE_FOUND_REVIEW_PENDING,EVIDENCE_FOUND_REVIEW_PENDING,AVAILABLE_LIVE,AVAILABLE_LIVE,AVAILABLE_LIVE,EVIDENCE_FOUND_REVIEW_PENDING
