acgme_id,program_name,specialty,state,provider,claim_count,claim_fields,review_state,publication_state,reconciliation_status,approved_live_research_fact_count
1400500002,Riverside University Health System Program,Internal Medicine,CA,CLAUDE_OPUS,3,research.leadership|research.resident_roster|research.visa,PENDING,REVIEW_REQUIRED,CANONICAL_IDENTITY_RECONCILED,0
1400500003,Martin Luther King Jr Community Hospital Program,Internal Medicine,CA,CLAUDE_OPUS,3,research.leadership|research.resident_roster|research.visa,PENDING,REVIEW_REQUIRED,CANONICAL_IDENTITY_RECONCILED,0
1400500004,Sutter Health/Sutter Roseville Medical Center Program,Internal Medicine,CA,CLAUDE_OPUS,3,research.leadership|research.resident_roster|research.visa,PENDING,REVIEW_REQUIRED,CANONICAL_IDENTITY_RECONCILED,0
1400500005,Prime West Consortium/Centinela Hospital Medical Center Program,Internal Medicine,CA,CLAUDE_OPUS,3,research.leadership|research.resident_roster|research.visa,PENDING,REVIEW_REQUIRED,CANONICAL_IDENTITY_RECONCILED,0
1400500006,Prime West Consortium Program,Internal Medicine,CA,CLAUDE_OPUS,3,research.leadership|research.resident_roster|research.visa,PENDING,REVIEW_REQUIRED,CANONICAL_IDENTITY_RECONCILED,0
1400500008,Loma Linda University Medical Center-Murrieta Program,Internal Medicine,CA,CLAUDE_OPUS,2,research.leadership|research.visa,PENDING,REVIEW_REQUIRED,CANONICAL_IDENTITY_RECONCILED,0
1400500012,Providence St. Mary Medical Center Program,Internal Medicine,CA,CLAUDE_OPUS,3,research.leadership|research.resident_roster|research.visa,PENDING,REVIEW_REQUIRED,CANONICAL_IDENTITY_RECONCILED,0
1400500015,St Joseph's Medical Center Program (Mercy San Juan Medical Center),Internal Medicine,CA,CLAUDE_OPUS,2,research.leadership|research.visa,PENDING,REVIEW_REQUIRED,CANONICAL_IDENTITY_RECONCILED,0
1400500018,Adventist Health Central California Network (Bakersfield) Program,Internal Medicine,CA,CLAUDE_OPUS,3,research.leadership|research.resident_roster|research.visa,PENDING,REVIEW_REQUIRED,CANONICAL_IDENTITY_RECONCILED,0
1400500020,Keck School of Medicine of USC Program,Internal Medicine,CA,CLAUDE_OPUS,2,research.leadership|research.visa,PENDING,REVIEW_REQUIRED,CANONICAL_IDENTITY_RECONCILED,0
1400500023,University of California (Irvine)/Irvine Medical Center Program,Internal Medicine,CA,CLAUDE_OPUS,2,research.resident_roster|research.visa,PENDING|PENDING_RIGHTS_AND_FIELD_REVIEW,REVIEW_REQUIRED,CANONICAL_IDENTITY_RECONCILED,0
1400500895,Eisenhower Medical Center Program,Internal Medicine,CA,CLAUDE_OPUS,3,research.leadership|research.resident_roster|research.visa,PENDING,REVIEW_REQUIRED,CANONICAL_IDENTITY_RECONCILED,0
1400500902,Kaiser Permanente Southern California (Inland Empire) Program,Internal Medicine,CA,CLAUDE_OPUS,3,research.leadership|research.resident_roster|research.visa,PENDING,REVIEW_REQUIRED,CANONICAL_IDENTITY_RECONCILED,0
1400500915,Arrowhead Regional Medical Center Program,Internal Medicine,CA,CLAUDE_OPUS,3,research.leadership|research.resident_roster|research.visa,PENDING,REVIEW_REQUIRED,CANONICAL_IDENTITY_RECONCILED,0
1400500917,HCA Healthcare Riverside Program,Internal Medicine,CA,CLAUDE_OPUS,3,research.leadership|research.resident_roster|research.visa,PENDING,REVIEW_REQUIRED,CANONICAL_IDENTITY_RECONCILED,0
1400500919,KPC Global Medical Centers Inc Program,Internal Medicine,CA,CLAUDE_OPUS,3,research.leadership|research.resident_roster|research.visa,PENDING,REVIEW_REQUIRED,CANONICAL_IDENTITY_RECONCILED,0
1400500920,Community Memorial Health System Program,Internal Medicine,CA,CLAUDE_OPUS,3,research.leadership|research.resident_roster|research.visa,PENDING,REVIEW_REQUIRED,CANONICAL_IDENTITY_RECONCILED,0
1400500921,College Medical Center Program,Internal Medicine,CA,CLAUDE_OPUS,2,research.leadership|research.visa,PENDING,REVIEW_REQUIRED,CANONICAL_IDENTITY_RECONCILED,0
1400500922,Prime West Consortium/West Anaheim Medical Center Program,Internal Medicine,CA,CLAUDE_OPUS,3,research.leadership|research.resident_roster|research.visa,PENDING,REVIEW_REQUIRED,CANONICAL_IDENTITY_RECONCILED,0
1400500925,North East Medical Services Program,Internal Medicine,CA,CLAUDE_OPUS,3,research.leadership|research.resident_roster|research.visa,PENDING,REVIEW_REQUIRED,CANONICAL_IDENTITY_RECONCILED,0
1400500927,Southwest Healthcare Medical Education Consortium Program,Internal Medicine,CA,CLAUDE_OPUS,3,research.leadership|research.resident_roster|research.visa,PENDING,REVIEW_REQUIRED,CANONICAL_IDENTITY_RECONCILED,0
1400500928,St Joseph's Medical Center Program,Internal Medicine,CA,CLAUDE_OPUS,3,research.leadership|research.resident_roster|research.visa,PENDING,REVIEW_REQUIRED,CANONICAL_IDENTITY_RECONCILED,0
