provider,disposition,count
CLAUDE_OPUS,APPROVED_CURRENT,478
CLAUDE_OPUS,APPROVED_HISTORICAL,11
CLAUDE_OPUS,CONFLICT_REQUIRES_REVIEW,72
CLAUDE_OPUS,INSUFFICIENT_EVIDENCE,401
CLAUDE_OPUS,RESEARCHED_NOT_FOUND,15
CLAUDE_OPUS,SUPERSEDED,746
CLAUDE_SONNET,APPROVED_CURRENT,1396
CLAUDE_SONNET,APPROVED_HISTORICAL,22
CLAUDE_SONNET,CONFLICT_REQUIRES_REVIEW,68
CLAUDE_SONNET,INSUFFICIENT_EVIDENCE,344
CLAUDE_SONNET,RESEARCHED_NOT_FOUND,248
CLAUDE_SONNET,SUPERSEDED,2152
PARALLEL,APPROVED_CURRENT,946
PARALLEL,APPROVED_HISTORICAL,15
PARALLEL,CONFLICT_REQUIRES_REVIEW,41
PARALLEL,INSUFFICIENT_EVIDENCE,436
PARALLEL,RESEARCHED_NOT_FOUND,334
PARALLEL,SUPERSEDED,2354
ALL,STALE_NEEDS_REFRESH,0
ALL,IDENTITY_AMBIGUITY,0
ALL,CLAIMS_WITHOUT_FINAL_DISPOSITION,0
