acgme_id,identity_match,designation,state,domain_count,claim_count,planned_action
1804800001,EXACT,Neurology,TX,26,36,REVIEW_AND_PROMOTE
1804800004,EXACT,Neurology,TX,26,35,REVIEW_AND_PROMOTE
1804800005,EXACT,Neurology,TX,26,37,REVIEW_AND_PROMOTE
1804800006,EXACT,Neurology,TX,26,34,REVIEW_AND_PROMOTE
1804800167,EXACT,Neurology,TX,26,35,REVIEW_AND_PROMOTE
1804800168,EXACT,Neurology,TX,26,34,REVIEW_AND_PROMOTE
1804800169,EXACT,Neurology,TX,26,35,REVIEW_AND_PROMOTE
1804811109,EXACT,Neurology,TX,26,38,REVIEW_AND_PROMOTE
1804812156,EXACT,Neurology,TX,26,37,REVIEW_AND_PROMOTE
1804812160,EXACT,Neurology,TX,26,38,REVIEW_AND_PROMOTE
1804813163,EXACT,Neurology,TX,26,36,REVIEW_AND_PROMOTE
1804821108,EXACT,Neurology,TX,26,37,REVIEW_AND_PROMOTE
1804821110,EXACT,Neurology,TX,26,36,REVIEW_AND_PROMOTE
1804821112,EXACT,Neurology,TX,26,37,REVIEW_AND_PROMOTE
1804821127,EXACT,Neurology,TX,26,35,REVIEW_AND_PROMOTE
1804831111,EXACT,Neurology,TX,26,38,REVIEW_AND_PROMOTE
