acgme_id,identity_match,run_inserted,claims_inserted,domain_states_retained,live_projection,idempotent_replay_insertions
1804800001,EXACT,1,36,26,YES,0
1804800004,EXACT,1,35,26,YES,0
1804800005,EXACT,1,37,26,YES,0
1804800006,EXACT,1,34,26,YES,0
1804800167,EXACT,1,35,26,YES,0
1804800168,EXACT,1,34,26,YES,0
1804800169,EXACT,1,35,26,YES,0
1804811109,EXACT,1,38,26,YES,0
1804812156,EXACT,1,37,26,YES,0
1804812160,EXACT,1,38,26,YES,0
1804813163,EXACT,1,36,26,YES,0
1804821108,EXACT,1,37,26,YES,0
1804821110,EXACT,1,36,26,YES,0
1804821112,EXACT,1,37,26,YES,0
1804821127,EXACT,1,35,26,YES,0
1804831111,EXACT,1,38,26,YES,0
TOTAL,16_OF_16,16,578,416,YES,0
