program_specialty_id,program_id,acgme_id,program_name,institution,state,specialty,research_depth,research_state,approved_domain_count,approved_research_fields,pending_research_fields,approved_source_claims,conflict_claims,researched_not_found_claims,insufficient_evidence_claims,available_high_value_domains,missing_high_value_domains,exact_missing_depth_domains,missing_domain_count,no_more_research,paid_work_class,student_value_priority,img_do_visa_relevance,recommended_provider,validation_route,observed_cost_low_usd,observed_cost_expected_usd,observed_cost_high_usd,priority_score
rise_ps_65772a41-31d0-5ea5-9927-2431e701ceef,rise_prg_00ca1541-ad92-50c8-818e-342eca13e720,1204111258,Abington Memorial Hospital Program,Abington Memorial Hospital,PA,Family Medicine,BASIC,NOT_YET_RESEARCHED,8,,,0,0,0,0,step2|comlex|yog|visa|resident_composition|deadline,attempts|usce|leadership|resident_roster|resident_medical_school|fellowships_outcomes|why_this_program,residentRoster|leadership|boardPerformance|fellowshipOutcomes,7,NO,DELTA_MEDIUM,Missing applicant gates: attempts|usce,IMG|DO|VISA,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.2382,0.2382,0.3,55
rise_ps_1c010f70-19f0-5bfc-ae0f-8a5f12958acc,rise_prg_6c019782-625a-530a-bc2c-79db1c9312bb,1200321029,Abrazo Health Network Program,Abrazo Health Network,AZ,Family Medicine,ENRICHED,VERIFIED_RESEARCH,8,research.leadership,,1,0,0,0,step2|comlex|yog|leadership|resident_composition|deadline,attempts|usce|visa|resident_roster|resident_medical_school|fellowships_outcomes|why_this_program,visaPublication|residentRoster|boardPerformance|fellowshipOutcomes,7,NO,DELTA_MEDIUM,Missing applicant gates: attempts|usce|visa,IMG|DO,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.2382,0.2382,0.3,59
rise_ps_d9451d73-d60d-5305-bc7d-3d5713447808,rise_prg_53290e1b-cf1a-5254-979d-b51f2663428d,1205500571,AccessHealth Program,AccessHealth,WV,Family Medicine,ENRICHED,VERIFIED_RESEARCH,9,research.leadership|research.resident_roster,,2,0,0,0,step2|comlex|yog|leadership|resident_roster|resident_medical_school|resident_composition|deadline,attempts|usce|visa|fellowships_outcomes|why_this_program,visaPublication|boardPerformance|fellowshipOutcomes,5,NO,DELTA_MEDIUM,Missing applicant gates: attempts|usce|visa,IMG|DO,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.2382,0.2382,0.3,53
rise_ps_2a39db47-33f5-582a-81e0-900dc334013d,rise_prg_e0fad944-e4b0-5849-995d-a98dd5acb813,1203800696,Adena Regional Medical Center Program,Adena Regional Medical Center,OH,Family Medicine,ENRICHED,VERIFIED_RESEARCH,8,research.resident_roster,,1,0,0,0,step2|comlex|yog|resident_roster|resident_medical_school|resident_composition|deadline,attempts|usce|visa|leadership|fellowships_outcomes|why_this_program,visaPublication|leadership|boardPerformance|fellowshipOutcomes,6,NO,DELTA_MEDIUM,Missing applicant gates: attempts|usce|visa,IMG|DO,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.2382,0.2382,0.3,56
rise_ps_b3368515-ed16-59c4-a362-6732d9dda01f,rise_prg_a86823d4-807a-57e7-bb43-97668e8e931a,1201100734,AdventHealth Florida (East Orlando) Program,AdventHealth Florida,FL,Family Medicine,BASIC,NOT_YET_RESEARCHED,8,,,0,0,0,0,step2|comlex|yog|visa|resident_composition|deadline,attempts|usce|leadership|resident_roster|resident_medical_school|fellowships_outcomes|why_this_program,residentRoster|leadership|boardPerformance|fellowshipOutcomes,7,NO,DELTA_MEDIUM,Missing applicant gates: attempts|usce,IMG|DO|VISA,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.2382,0.2382,0.3,55
rise_ps_0de598b9-bc3d-53dd-bd27-78f136799723,rise_prg_d33120e8-e5a8-5b8e-b509-fc34f7231981,1201100005,AdventHealth Florida (Ocala) Program,AdventHealth Florida,FL,Family Medicine,BASIC,NOT_YET_RESEARCHED,7,,,0,0,0,0,step2|comlex|yog|visa|deadline,attempts|usce|leadership|resident_roster|resident_medical_school|resident_composition|fellowships_outcomes|why_this_program,residentRoster|leadership|boardPerformance|fellowshipOutcomes|residentComposition,8,NO,FULL,Missing applicant gates: attempts|usce,VISA,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.3394,0.3412,0.3429,58
rise_ps_022d7aa4-fae5-5576-a5b7-13383b79730c,rise_prg_2af46a32-1305-5a64-8486-11a695187dcc,1201100748,AdventHealth Florida (Sebring) Program,AdventHealth Florida,FL,Family Medicine,BASIC,NOT_YET_RESEARCHED,8,,,0,0,0,0,step2|comlex|yog|visa|resident_composition|deadline,attempts|usce|leadership|resident_roster|resident_medical_school|fellowships_outcomes|why_this_program,residentRoster|leadership|boardPerformance|fellowshipOutcomes,7,NO,DELTA_MEDIUM,Missing applicant gates: attempts|usce,IMG|DO|VISA,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.2382,0.2382,0.3,55
rise_ps_cda46937-3199-5f70-a9c4-c2ae359e4892,rise_prg_a0351026-23b8-5990-b53a-552d29778056,1201100006,AdventHealth Florida (Wesley Chapel) Program,AdventHealth Florida,FL,Family Medicine,BASIC,NOT_YET_RESEARCHED,8,,,0,0,0,0,step2|comlex|yog|visa|resident_composition|deadline,attempts|usce|leadership|resident_roster|resident_medical_school|fellowships_outcomes|why_this_program,residentRoster|leadership|boardPerformance|fellowshipOutcomes,7,NO,DELTA_MEDIUM,Missing applicant gates: attempts|usce,IMG|DO|VISA,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.2382,0.2382,0.3,55
rise_ps_2bef95ad-5290-593c-a920-b2407e12caa3,rise_prg_57f442dd-8a04-5ada-a158-7b9456a0d057,1201111088,AdventHealth Florida (Winter Park) Program,AdventHealth Florida,FL,Family Medicine,BASIC,NOT_YET_RESEARCHED,8,,,0,0,0,0,step2|comlex|yog|visa|resident_composition|deadline,attempts|usce|leadership|resident_roster|resident_medical_school|fellowships_outcomes|why_this_program,residentRoster|leadership|boardPerformance|fellowshipOutcomes,7,NO,DELTA_MEDIUM,Missing applicant gates: attempts|usce,IMG|DO|VISA,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.2382,0.2382,0.3,55
rise_ps_9f1f5776-37fd-588d-b4c2-def1a020a5ef,rise_prg_d6fbdb7a-d95b-510d-8a08-45c3ab0309d6,1200513685,Adventist Health Central California Network (Hanford) Program,Adventist Health Central California Network,CA,Family Medicine,BASIC,NOT_YET_RESEARCHED,7,,,0,0,0,0,step2|comlex|yog|resident_composition|deadline,attempts|usce|visa|leadership|resident_roster|resident_medical_school|fellowships_outcomes|why_this_program,visaPublication|residentRoster|leadership|boardPerformance|fellowshipOutcomes,8,NO,FULL,Missing applicant gates: attempts|usce|visa,IMG|DO,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.3394,0.3412,0.3429,67
rise_ps_5fd277b9-007c-53ef-829d-6b48fa326830,rise_prg_1370ef7a-1185-5175-8442-9fc5c1b19a67,1200500005,Adventist Health Central California Network (Sonora) Program,Adventist Health Central California Network,CA,Family Medicine,BASIC,NOT_YET_RESEARCHED,7,,,0,0,0,0,step2|comlex|yog|resident_composition|deadline,attempts|usce|visa|leadership|resident_roster|resident_medical_school|fellowships_outcomes|why_this_program,visaPublication|residentRoster|leadership|boardPerformance|fellowshipOutcomes,8,NO,FULL,Missing applicant gates: attempts|usce|visa,IMG|DO,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.3394,0.3412,0.3429,67
rise_ps_cf00c54d-5f5f-5737-a935-c1427dd73648,rise_prg_92f41da5-7743-5a08-b7c9-592ce40b814f,1200500001,Adventist Health Central California Network (Tulare) Program,Adventist Health Central California Network,CA,Family Medicine,BASIC,NOT_YET_RESEARCHED,7,,,0,0,0,0,step2|comlex|yog|resident_composition|deadline,attempts|usce|visa|leadership|resident_roster|resident_medical_school|fellowships_outcomes|why_this_program,visaPublication|residentRoster|leadership|boardPerformance|fellowshipOutcomes,8,NO,FULL,Missing applicant gates: attempts|usce|visa,IMG|DO,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.3394,0.3412,0.3429,67
rise_ps_0801544d-dd91-55a2-87b8-469a790141e1,rise_prg_7e59fbb5-12a1-5d67-b828-e02868a996a3,1200521372,Adventist Health Glendale Program,Adventist Health Glendale,CA,Family Medicine,BASIC,NOT_YET_RESEARCHED,7,,,0,0,0,0,step2|comlex|yog|resident_composition|deadline,attempts|usce|visa|leadership|resident_roster|resident_medical_school|fellowships_outcomes|why_this_program,visaPublication|residentRoster|leadership|boardPerformance|fellowshipOutcomes,8,NO,FULL,Missing applicant gates: attempts|usce|visa,IMG|DO,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.3394,0.3412,0.3429,67
rise_ps_548f3a87-5f11-55be-b529-fd9ddd8f3c49,rise_prg_dd4ba53f-6af4-54e1-a37d-2f162bf380e5,1200500748,Adventist Health Ukiah Valley Program,Adventist Health Ukiah Valley,CA,Family Medicine,ENRICHED,VERIFIED_RESEARCH,9,research.leadership|research.resident_roster,,2,0,0,0,step2|comlex|yog|leadership|resident_roster|resident_medical_school|resident_composition|deadline,attempts|usce|visa|fellowships_outcomes|why_this_program,visaPublication|boardPerformance|fellowshipOutcomes,5,NO,DELTA_MEDIUM,Missing applicant gates: attempts|usce|visa,IMG|DO,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.2382,0.2382,0.3,53
rise_ps_49844ff6-6717-5abe-8400-37c322e62a0d,rise_prg_7416b04e-c839-5441-b0bc-c0f0e552af80,1200521480,Adventist Health White Memorial Program,Adventist Health White Memorial,CA,Family Medicine,ENRICHED,VERIFIED_RESEARCH,8,research.leadership,,1,0,0,0,step2|comlex|yog|leadership|resident_composition|deadline,attempts|usce|visa|resident_roster|resident_medical_school|fellowships_outcomes|why_this_program,visaPublication|residentRoster|boardPerformance|fellowshipOutcomes,7,NO,DELTA_MEDIUM,Missing applicant gates: attempts|usce|visa,IMG|DO,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.2382,0.2382,0.3,59
rise_ps_0f83467d-18aa-5069-ad90-f1c46f58a145,rise_prg_0d44d77d-f45c-58e7-a44c-ba225d820d92,1201621109,Adventist Hinsdale Hospital Program,Adventist Hinsdale Hospital,IL,Family Medicine,BASIC,NOT_YET_RESEARCHED,7,,,0,0,0,0,yog|resident_composition|deadline,step2|comlex|attempts|usce|visa|leadership|resident_roster|resident_medical_school|fellowships_outcomes|why_this_program,visaPublication|residentRoster|leadership|boardPerformance|fellowshipOutcomes,10,NO,FULL,Missing applicant gates: step2|comlex|attempts|usce|visa,IMG|DO,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.3394,0.3412,0.3429,91
rise_ps_40252399-296c-5821-bebc-07f45dcf86c9,rise_prg_2cf8e8e0-35f4-5052-9904-4aa17da0f3ca,1201611110,Adventist LaGrange Memorial Hospital Program,Adventist La Grange Memorial Hospital,IL,Family Medicine,ENRICHED,VERIFIED_RESEARCH,9,research.leadership|research.resident_roster,,2,0,0,0,step2|comlex|yog|leadership|resident_roster|resident_medical_school|resident_composition|deadline,attempts|usce|visa|fellowships_outcomes|why_this_program,visaPublication|boardPerformance|fellowshipOutcomes,5,NO,DELTA_MEDIUM,Missing applicant gates: attempts|usce|visa,IMG|DO,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.2382,0.2382,0.3,53
rise_ps_ed03d028-bb0b-58ab-b7b4-62244352968f,rise_prg_9706a516-db10-5853-a804-d1fc25a9cd7e,1201621364,Advocate Health Care/Advocate Christ Medical Center Program,Advocate Health Care,IL,Family Medicine,ENRICHED,VERIFIED_RESEARCH,8,research.leadership|research.resident_roster,,2,0,0,0,step2|comlex|yog|leadership|resident_roster|resident_medical_school|resident_composition|deadline,attempts|usce|visa|fellowships_outcomes|why_this_program,visaPublication|boardPerformance|fellowshipOutcomes,5,NO,DELTA_MEDIUM,Missing applicant gates: attempts|usce|visa,IMG|DO,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.2382,0.2382,0.3,53
rise_ps_3f1c9769-d89e-5f93-9f1b-4b5f2ea4224c,rise_prg_c5889009-3b5c-5e22-9735-4aa75a6b3d31,1201621467,Advocate Health Care/Advocate Illinois Masonic Medical Center Program,Advocate Health Care,IL,Family Medicine,BASIC,NOT_YET_RESEARCHED,7,,,0,0,0,0,step2|comlex|yog|resident_composition|deadline,attempts|usce|visa|leadership|resident_roster|resident_medical_school|fellowships_outcomes|why_this_program,visaPublication|residentRoster|leadership|boardPerformance|fellowshipOutcomes,8,NO,FULL,Missing applicant gates: attempts|usce|visa,IMG|DO,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.3394,0.3412,0.3429,67
rise_ps_c4c38307-9d87-5e24-9d36-1eacd9092ddf,rise_prg_80a29638-4927-5baa-b496-34e851920745,1201611107,Advocate Health Care/Advocate Lutheran General Hospital Program,Advocate Health Care,IL,Family Medicine,BASIC,NOT_YET_RESEARCHED,7,,,0,0,0,0,step2|comlex|yog|resident_composition|deadline,attempts|usce|visa|leadership|resident_roster|resident_medical_school|fellowships_outcomes|why_this_program,visaPublication|residentRoster|leadership|boardPerformance|fellowshipOutcomes,8,NO,FULL,Missing applicant gates: attempts|usce|visa,IMG|DO,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.3394,0.3412,0.3429,67
rise_ps_11a8430c-d8d8-59a2-bcba-4df0ec15a2f7,rise_prg_03ed1f0f-3f25-521d-a186-dd85d10a5942,1202800001,Affinia Healthcare Program,Affinia Healthcare,MO,Family Medicine,BASIC,NOT_YET_RESEARCHED,7,,,0,0,0,0,step2|comlex|yog|visa|deadline,attempts|usce|leadership|resident_roster|resident_medical_school|resident_composition|fellowships_outcomes|why_this_program,residentRoster|leadership|boardPerformance|fellowshipOutcomes|residentComposition,8,NO,FULL,Missing applicant gates: attempts|usce,VISA,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.3394,0.3412,0.3429,58
rise_ps_13c0cb03-7574-56bc-8705-97c36eab0bde,rise_prg_f991c1c2-8097-518a-9112-efa3d857ddf6,1204500001,Aiken Regional Medical Centers Program,Aiken Regional Medical Centers,SC,Family Medicine,BASIC,NOT_YET_RESEARCHED,7,,,0,0,0,0,step2|comlex|yog|resident_composition|deadline,attempts|usce|visa|leadership|resident_roster|resident_medical_school|fellowships_outcomes|why_this_program,visaPublication|residentRoster|leadership|boardPerformance|fellowshipOutcomes,8,NO,FULL,Missing applicant gates: attempts|usce|visa,IMG|DO,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.3394,0.3412,0.3429,67
rise_ps_6f2d920a-55fd-527a-8b70-47bc0ce81c93,rise_prg_dd36a38f-f6b3-5db8-9c2b-291d0fb76810,1203521198,Albany Med Health System Program,Albany Med Health System,NY,Family Medicine,BASIC,NOT_YET_RESEARCHED,8,,,0,0,0,0,step2|comlex|yog|visa|resident_composition|deadline,attempts|usce|leadership|resident_roster|resident_medical_school|fellowships_outcomes|why_this_program,residentRoster|leadership|boardPerformance|fellowshipOutcomes,7,NO,DELTA_MEDIUM,Missing applicant gates: attempts|usce,IMG|DO|VISA,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.2382,0.2382,0.3,55
rise_ps_2d027cec-98d8-5819-8bb0-ee6a0dc8c423,rise_prg_f1e58b1d-8c96-5cee-9319-6ba6034994e4,1203500006,Albany Med Health System/Saratoga Hospital Program,Albany Med Health System,NY,Family Medicine,BASIC,NOT_YET_RESEARCHED,8,,,0,0,0,0,step2|comlex|yog|visa|resident_composition|deadline,attempts|usce|leadership|resident_roster|resident_medical_school|fellowships_outcomes|why_this_program,residentRoster|leadership|boardPerformance|fellowshipOutcomes,7,NO,DELTA_MEDIUM,Missing applicant gates: attempts|usce,IMG|DO|VISA,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.2382,0.2382,0.3,55
rise_ps_b3200550-fe58-5d47-afed-6a26af20f878,rise_prg_a48d9814-fa7b-57ff-aa09-b48a8ff3ab86,1204122278,Allegheny Health Network Medical Education Consortium (FH) Program,Allegheny Health Network Medical Education Consortium,PA,Family Medicine,BASIC,NOT_YET_RESEARCHED,8,,,0,0,0,0,step2|comlex|yog|visa|resident_composition|deadline,attempts|usce|leadership|resident_roster|resident_medical_school|fellowships_outcomes|why_this_program,residentRoster|leadership|boardPerformance|fellowshipOutcomes,7,NO,DELTA_MEDIUM,Missing applicant gates: attempts|usce,IMG|DO|VISA,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.2382,0.2382,0.3,55
