program_specialty_id,program_id,acgme_id,program_name,institution,state,specialty,research_depth,paid_work_class,exact_missing_depth_domains,missing_high_value_domains,student_value_priority,img_do_visa_relevance,recommended_provider,validation_route,observed_cost_low_usd,observed_cost_expected_usd,observed_cost_high_usd,priority_score
rise_ps_a87d2a9c-0747-5431-a0d3-90738615d28d,rise_prg_58f2a834-51d3-5425-a8e4-7ee5a048c986,1400500015,St Joseph's Medical Center Program (Mercy San Juan Medical Center),St Joseph's Medical Center,CA,Internal Medicine,ENRICHED,DELTA_MEDIUM,visaPublication|residentRoster|boardPerformance|fellowshipOutcomes|applicationRequirements|residentComposition,step2|comlex|attempts|yog|usce|visa|resident_roster|resident_medical_school|resident_composition|deadline|fellowships_outcomes|why_this_program,Missing applicant gates: step2|comlex|attempts|yog|usce|visa|deadline,UNKNOWN,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.2382,0.2382,0.3,100
rise_ps_677507fd-7aa9-58ee-bdda-5d85367cc53a,rise_prg_d8ac94fe-fed9-5acd-bbbb-8fc62266cab4,1401200006,"Doutheast Georgia Health System, Inc. Program",2415 Parkwood Dr,GA,Internal Medicine,BASIC,DELTA_MEDIUM,visaPublication|residentRoster|leadership|boardPerformance|fellowshipOutcomes|applicationRequirements|residentComposition,step2|comlex|attempts|yog|usce|visa|leadership|resident_roster|resident_medical_school|resident_composition|deadline|fellowships_outcomes|why_this_program,Missing applicant gates: step2|comlex|attempts|yog|usce|visa|deadline,UNKNOWN,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.2382,0.2382,0.3,100
rise_ps_d9c9a9ac-6a60-5ab7-8c09-92a0d8022c5c,rise_prg_53d76b9b-7497-5081-ad1f-a134a83d622a,1402712001,Keesler Medical Center Program,Keesler Medical Center,MS,Internal Medicine,BASIC,FULL,visaPublication|residentRoster|leadership|boardPerformance|fellowshipOutcomes|applicationRequirements,step2|comlex|attempts|yog|usce|visa|leadership|resident_roster|resident_medical_school|deadline|fellowships_outcomes|why_this_program,Missing applicant gates: step2|comlex|attempts|yog|usce|visa|deadline,IMG|DO,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.3394,0.3412,0.3429,100
rise_ps_7e81fcc3-7d6e-5086-a325-cad5ceaedf21,rise_prg_53e9bc3a-6f11-504e-856a-f8ae65a3bcd8,1403400002,Three Crosses Regional Hospital Program,2560 Samaritan Dr,NM,Internal Medicine,BASIC,FULL,visaPublication|residentRoster|leadership|boardPerformance|fellowshipOutcomes|applicationRequirements|residentComposition,step2|comlex|attempts|yog|usce|visa|leadership|resident_roster|resident_medical_school|resident_composition|deadline|fellowships_outcomes|why_this_program,Missing applicant gates: step2|comlex|attempts|yog|usce|visa|deadline,UNKNOWN,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.3394,0.3412,0.3429,100
rise_ps_43a991bd-e28b-5f99-b07f-8a1d5f10a3a4,rise_prg_c71defa3-0ea8-5486-a4b0-3b0d76dda289,1403600330,Womack Army Medical Center Program,Womack Army Medical Center,NC,Internal Medicine,BASIC,FULL,visaPublication|residentRoster|leadership|boardPerformance|fellowshipOutcomes,comlex|attempts|yog|usce|visa|leadership|resident_roster|resident_medical_school|deadline|fellowships_outcomes|why_this_program,Missing applicant gates: comlex|attempts|yog|usce|visa|deadline,IMG|DO,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.3394,0.3412,0.3429,100
rise_ps_b487fef5-40ec-5844-b002-423c7ec674ff,rise_prg_d43bf6c2-10b2-5858-b86b-df3a4b3c525e,1404100901,UPMC Medical Education/Lititz Program,UPMC Medical Education,PA,Internal Medicine,BASIC,FULL,visaPublication|residentRoster|leadership|boardPerformance|fellowshipOutcomes,step2|comlex|attempts|usce|visa|leadership|resident_roster|resident_medical_school|deadline|fellowships_outcomes|why_this_program,Missing applicant gates: step2|comlex|attempts|usce|visa|deadline,IMG|DO,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.3394,0.3412,0.3429,100
rise_ps_5f24c156-c9e4-5529-a069-affa3a07020f,rise_prg_41c09045-656d-509e-a326-75fcdf8766ed,1404200002,Universidad Central Del Caribe School of Medicine (Cayetano Coll & Toste Hospital) Program,Universidad Central del Caribe School of Medicine,PR,Internal Medicine,BASIC,FULL,visaPublication|residentRoster|leadership|boardPerformance|fellowshipOutcomes|applicationRequirements|residentComposition,step2|comlex|attempts|yog|usce|visa|leadership|resident_roster|resident_medical_school|resident_composition|deadline|fellowships_outcomes|why_this_program,Missing applicant gates: step2|comlex|attempts|yog|usce|visa|deadline,UNKNOWN,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.3394,0.3412,0.3429,100
rise_ps_35b84a18-3eb2-5512-a853-81444c56e5a1,rise_prg_fa913a36-52ca-5cb1-a330-4ce1a0fec222,1404700001,Methodist Le Bonheur Healthcare Program,Methodist Le Bonheur Healthcare,TN,Internal Medicine,BASIC,DELTA_MEDIUM,visaPublication|residentRoster|leadership|boardPerformance|fellowshipOutcomes|applicationRequirements|residentComposition,step2|comlex|attempts|yog|usce|visa|leadership|resident_roster|resident_medical_school|resident_composition|deadline|fellowships_outcomes|why_this_program,Missing applicant gates: step2|comlex|attempts|yog|usce|visa|deadline,UNKNOWN,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.2382,0.2382,0.3,100
rise_ps_8109cf89-53b0-5df8-9ba5-648aab5c02ed,rise_prg_8d23c0bf-a6ca-568f-a584-e981e8876f46,1404812009,San Antonio Uniformed Services Health Education Consortium Program,San Antonio Uniformed Services Health Education Consortium,TX,Internal Medicine,BASIC,DELTA_MEDIUM,residentRoster|leadership|boardPerformance|fellowshipOutcomes|applicationRequirements|residentComposition,step2|comlex|attempts|yog|usce|leadership|resident_roster|resident_medical_school|resident_composition|deadline|fellowships_outcomes|why_this_program,Missing applicant gates: step2|comlex|attempts|yog|usce|deadline,VISA,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.2382,0.2382,0.3,100
rise_ps_5d01ea18-7b82-5280-8480-bab76ead0e0f,rise_prg_6af3fdbb-8d98-5568-8977-43ab8ba06336,1405100900,HCA Healthcare LewisGale Hospital-Montgomery/VCOM Program,HCA Healthcare LewisGale Hospital-Montgomery/VCOM,VA,Internal Medicine,BASIC,DELTA_MEDIUM,visaPublication|residentRoster|leadership|boardPerformance|fellowshipOutcomes,step2|comlex|attempts|usce|visa|leadership|resident_roster|resident_medical_school|deadline|fellowships_outcomes|why_this_program,Missing applicant gates: step2|comlex|attempts|usce|visa|deadline,IMG|DO,OPENAI_TERRA,CODEX_DETERMINISTIC_REVIEW_PROMOTION,0.2382,0.2382,0.3,100
