specialty,canonical_program_count,live_deep,live_enriched,live_basic,live_pending,canonical_supported_deep,canonical_supported_enriched,canonical_supported_basic,canonical_supported_pending,percent_deep,percent_deep_or_enriched,programs_with_any_provider_research,programs_with_approved_promoted_provider_facts,programs_with_reviewed_unpromoted_provider_evidence,programs_with_no_meaningful_research_beyond_basic,coverage_step1_programs,coverage_step2_programs,coverage_comlex_programs,coverage_attempts_programs,coverage_yog_programs,coverage_usce_programs,coverage_ecfmg_programs,coverage_deadline_programs,coverage_lor_chair_programs,coverage_prior_gme_gaps_programs,coverage_j1_programs,coverage_h1b_programs,coverage_visa_supported_programs,coverage_visa_conflict_programs,coverage_visa_unknown_programs,coverage_pd_programs,coverage_apd_programs,coverage_coordinator_programs,coverage_core_faculty_programs,coverage_roster_programs,coverage_pgy_programs,coverage_resident_schools_programs,coverage_resident_school_country_programs,coverage_usmd_programs,coverage_usdo_programs,coverage_img_programs,coverage_caribbean_programs,coverage_composition_programs,coverage_classification_coverage_programs,coverage_curriculum_programs,coverage_schedule_programs,coverage_electives_programs,coverage_research_programs,coverage_fellowships_programs,coverage_outcomes_programs,coverage_board_programs,coverage_salary_benefits_programs,coverage_facilities_sim_programs,coverage_community_mission_programs,coverage_differentiators_programs
Aerospace Medicine,6,0,0,6,0,0,0,6,0,0,0,1,0,UNAVAILABLE_CURRENT_LEDGER_EMPTY,5,1,1,1,0,1,0,0,1,1,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,1,0,0,0,6,0,0,0
Anesthesiology,198,0,0,198,0,3,2,193,0,1.5,2.5,5,5,UNAVAILABLE_CURRENT_LEDGER_EMPTY,193,177,180,166,0,178,0,0,179,180,193,152,63,155,0,43,3,0,2,0,5,5,5,0,177,177,177,0,177,0,196,198,0,90,0,0,0,193,0,0,0
Colon and Rectal Surgery,74,0,0,74,0,0,0,74,0,0,0,0,0,UNAVAILABLE_CURRENT_LEDGER_EMPTY,74,57,57,51,0,61,0,0,64,71,74,60,19,61,0,13,0,0,0,0,0,0,0,0,60,60,60,0,60,0,74,74,0,20,0,0,0,74,0,0,0
Dermatology,149,0,0,149,0,1,2,146,0,0.7,2,3,3,UNAVAILABLE_CURRENT_LEDGER_EMPTY,146,124,124,106,0,131,0,0,128,133,149,101,30,103,0,46,1,1,1,0,1,1,1,0,144,144,144,0,144,0,149,149,0,67,1,0,0,149,0,0,0
Diagnostic Radiology,202,0,0,202,0,7,8,187,0,3.5,7.4,16,15,UNAVAILABLE_CURRENT_LEDGER_EMPTY,186,177,180,162,0,172,0,0,164,177,200,156,51,156,0,46,15,8,15,0,8,8,8,0,189,189,189,0,189,0,202,202,0,93,0,0,0,201,0,0,0
Emergency Medicine,326,0,0,326,0,0,6,320,0,0,1.8,10,6,UNAVAILABLE_CURRENT_LEDGER_EMPTY,316,284,288,278,0,285,0,0,291,297,320,238,64,239,0,87,0,0,0,0,5,5,5,0,298,299,299,0,298,0,325,326,0,162,0,0,0,323,0,0,0
Family Medicine,821,0,0,820,1,111,200,509,1,13.5,37.9,318,311,UNAVAILABLE_CURRENT_LEDGER_EMPTY,503,749,758,736,0,790,0,0,771,774,811,425,115,431,8,390,286,163,197,0,245,245,245,2,740,742,742,46,740,0,820,820,0,666,45,0,2,816,0,0,0
General Surgery,367,0,0,367,0,51,85,231,0,13.9,37.1,157,136,UNAVAILABLE_CURRENT_LEDGER_EMPTY,210,337,340,304,0,343,0,0,331,347,365,271,60,276,0,91,100,54,85,0,96,96,96,0,349,349,349,0,349,0,367,367,0,179,0,0,0,364,0,0,0
Internal Medicine,828,0,0,828,0,137,258,433,0,16.5,47.7,498,396,UNAVAILABLE_CURRENT_LEDGER_EMPTY,330,756,764,725,1,782,1,1,743,768,821,696,353,703,28,125,187,153,82,1,321,321,321,8,741,757,754,142,741,0,828,828,0,453,136,1,104,823,1,1,2
Interventional Radiology,191,0,0,191,0,3,4,184,0,1.6,3.7,7,7,UNAVAILABLE_CURRENT_LEDGER_EMPTY,184,123,125,106,0,157,0,0,147,172,191,168,75,169,0,22,7,3,7,0,3,3,3,0,161,161,161,0,161,0,191,191,0,42,0,0,0,191,0,0,0
Medical Genetics and Genomics,78,0,0,78,0,1,1,76,0,1.3,2.6,3,2,UNAVAILABLE_CURRENT_LEDGER_EMPTY,75,54,54,53,0,66,0,0,59,64,77,75,37,75,0,3,1,0,0,0,2,2,2,0,57,57,57,0,57,0,78,78,0,54,0,0,0,77,0,0,0
Neurological Surgery,123,0,0,123,0,0,0,123,0,0,0,0,0,UNAVAILABLE_CURRENT_LEDGER_EMPTY,123,108,112,90,0,104,0,0,104,108,122,108,38,111,0,12,0,0,0,0,0,0,0,0,116,116,116,0,116,0,123,123,0,73,0,0,0,123,0,0,0
Neurology,288,0,0,288,0,39,1,248,0,13.5,13.9,5,41,UNAVAILABLE_CURRENT_LEDGER_EMPTY,247,250,252,237,35,264,35,36,252,271,284,265,107,265,5,23,41,31,32,35,35,35,32,27,265,265,265,35,265,34,285,288,0,157,36,36,0,285,0,0,35
Nuclear Medicine,35,0,0,35,0,0,0,35,0,0,0,0,0,UNAVAILABLE_CURRENT_LEDGER_EMPTY,35,29,30,24,0,31,0,0,23,28,35,32,16,32,0,3,0,0,0,0,0,0,0,0,27,27,27,0,27,0,35,35,0,16,0,0,0,35,0,0,0
Obstetrics and Gynecology,307,0,0,307,0,0,0,307,0,0,0,0,0,UNAVAILABLE_CURRENT_LEDGER_EMPTY,307,273,277,259,0,283,0,0,285,281,301,209,55,213,0,94,0,0,0,0,0,0,0,0,283,284,283,0,284,0,303,307,0,156,0,0,0,301,0,0,0
Occup & Environmental Med,20,0,0,20,0,0,0,20,0,0,0,0,0,UNAVAILABLE_CURRENT_LEDGER_EMPTY,20,17,17,15,0,16,0,0,18,19,20,4,2,4,0,16,0,0,0,0,0,0,0,0,18,18,18,0,18,0,20,20,0,11,0,0,0,20,0,0,0
