acgme_program_id,classification,fields,rise_program_name,acgme_program_name,rise_location,acgme_location
0400300001,STALE_IDENTITY_REVIEW_REQUIRED,program_name,Creighton University School of Medicine Program,Creighton University School of Medicine- Phoenix Program,"Phoenix, AZ","Phoenix, AZ"
0400321012,STALE_IDENTITY_REVIEW_REQUIRED,program_name,University of Arizona College of Medicine-Tucson Program,University of Arizona College of Medicine- Tucson Program,"Tucson, AZ","Tucson, AZ"
0400500001,STALE_IDENTITY_REVIEW_REQUIRED,program_name|city,HCA Healthcare/Los Robles Regional Medical Center Program,HCA Healthcare/Los H Robles Regional Medical Center Me Program 2 T P,"Thousand Oaks, CA","housand Oaks, CA"
0400500003,STALE_IDENTITY_REVIEW_REQUIRED,program_name|city,Arrowhead Regional Medical Center Program,Arrowhead 4 Regional Medical Center Program C P N,"Colton, CA","olton, CA"
0400521020,STALE_IDENTITY_REVIEW_REQUIRED,program_name|city,UCLA David Geffen School of Medicine/UCLA Medical Center Program,UCLA David Geffen Ro School of Medicine/UCLA Medical D Center Program M 7 L P l,"Los Angeles, CA","os Angeles, CA"
0400800001,STALE_IDENTITY_REVIEW_REQUIRED,program_name|city,Quinnipiac University Frank H Netter MD School of Medicine Program,Quinnipiac University Frank H. Netter MD School of Medicine Program,"Hamden, CT","Bridgeport, CT"
0401021033,STALE_IDENTITY_REVIEW_REQUIRED,program_name|city,George Washington University Program,George Washington Ge University Program 90 Wa Ph il,"Washington, DC","shington, DC"
0401100205,STALE_IDENTITY_REVIEW_REQUIRED,program_name,Mount Sinai Medical Center of Florida Inc Program,"Mount Sinai Medical Center of Florida, Inc Program","Miami Beach, FL","Miami Beach, FL"
0401100215,STALE_IDENTITY_REVIEW_REQUIRED,program_name,Memorial Healthcare System (Hollywood Florida) Program,"Memorial Healthcare System, Hollywood, Florida Program","Pembroke Pines, FL","Pembroke Pines, FL"
0401600001,STALE_IDENTITY_REVIEW_REQUIRED,program_name,University of Illinois College of Medicine at Peoria Program,University of Illino College of Medicine at Peoria Program,"Peoria, IL","Peoria, IL"
