acgme_program_id,canonical_rise_program_id,program_specialty_id,program_name,specialty,city,state,accreditation_status,effective_date,academic_year,newly_accredited
0400300002,rise_prg_c46d28ee-f816-5352-8919-555f13fe1cc1,rise_ps_e19b8678-b4a1-5de4-bf90-e77c937cf65b,University of Arizona College of Medicine - Phoenix Program,Anesthesiology,Phoenix,AZ,Initial Accreditation,04/20/2026,2025-2026,true
0401100006,rise_prg_88f7a4cf-c6d9-57dc-8777-150fed9ae8c9,rise_ps_c6fa4e0d-7c4c-57dd-951f-e3f5b5d045aa,BayCare Health System (St. Joseph's Hospital) Program,Anesthesiology,Tampa,FL,Initial Accreditation,04/20/2026,2025-2026,true
0401100008,rise_prg_11d78559-d0df-5759-9629-498b0b289a9d,rise_ps_72d54689-5d9b-5a78-a82c-0b6221cd432d,Florida International University/Baptist Health Program,Anesthesiology,Miami,FL,Initial Accreditation,09/14/2026,2026-2027,true
0401100009,rise_prg_63292b96-9ae3-5115-be86-4dac4c6eff7a,rise_ps_ab16ced9-4912-5b02-b3ca-adad6c1115ce,AdventHealth Florida Program,Anesthesiology,Tampa,FL,Initial Accreditation,09/14/2026,2026-2027,true
0403600002,rise_prg_aa9ef157-79f6-58e5-bb3c-ee70beab390f,rise_ps_4272af0d-988b-5a0f-8aaf-400dadd56511,Carolinas Medical Center Program,Anesthesiology,Charlotte,NC,Initial Accreditation,04/20/2026,2025-2026,true
0404100004,rise_prg_9bb91f3e-49b5-5591-be16-45af2a4e3ccb,rise_ps_50a2a7cf-0d19-5b70-adca-82dc04143149,Wellspan Health Program,Anesthesiology,YORK,PA,Initial Accreditation,04/20/2026,2025-2026,true
0600500001,rise_prg_fc2585cd-97e5-5064-875f-7168aa8292b5,rise_ps_1cd09461-d0d9-5e75-9758-bb7ebfd0102e,Stanford Health Care Program,Colon and Rectal Surgery,Stanford,CA,Initial Accreditation,04/24/2026,2025-2026,true
0600500002,rise_prg_942a7048-7330-5071-8f12-f003a2595281,rise_ps_b8d28a12-4fd1-548a-b3fd-5c85d03e902c,Loma Linda University Health Education Consortium Program,Colon and Rectal Surgery,Loma Linda,CA,Initial Accreditation,07/01/2026,2026-2027,true
0605600002,rise_prg_4f725069-3dd5-5f98-ad53-52bfbd4d31ee,rise_ps_6e5597d7-efd3-524c-b472-50a0c39bd1ac,"Medical College of Wisconsin Affiliated Hospitals, Inc Program",Colon and Rectal Surgery,Milwaukee,WI,Initial Accreditation,07/01/2026,2026-2027,true
1100300003,rise_prg_956fa48c-ea8a-5f0f-b215-ff068725efc7,rise_ps_77a9df0c-696d-5c19-a553-9ff00f653547,Mayo Clinic College of Medicine and Science (Phoenix) Program,Emergency Medicine,Phoenix,AZ,Initial Accreditation,08/27/2026,2026-2027,true
1102400001,rise_prg_bac2726c-aaea-5f39-b2a5-bf58961ca07f,rise_ps_22381d5f-c84f-5ec5-b7f9-8d22e1aba5dc,Lahey Clinic Program,Emergency Medicine,Burlington,MA,Initial Accreditation,04/30/2026,2025-2026,true
1102500001,rise_prg_96576e3b-a499-5758-8db1-3b9b876798f2,rise_ps_7c6c1468-cea0-5a86-b6c9-a24719eb119b,McLaren Health Care Corporation/McLaren Flint Program,Emergency Medicine,Flint,MI,Initial Accreditation,01/14/2026,2025-2026,true
1103500006,rise_prg_944a70a3-7a4a-5bf1-bbaa-0e4e2ab7958d,rise_ps_389d2e31-560a-52bf-92ff-0f46c0e10411,Jacobi Medical Center Program,Emergency Medicine,Bronx,NY,Initial Accreditation,08/27/2026,2026-2027,true
1103800002,rise_prg_d333d106-db26-5f93-8402-fb30f870c194,rise_ps_a6cb30b9-b250-5a94-9046-1bbf9c11a81e,Cleveland Clinic Foundation Program,Emergency Medicine,Cleveland,OH,Initial Accreditation,08/27/2026,2026-2027,true
1103900001,rise_prg_4ad63cc3-6770-5c78-b94c-81fb9e5e0ff6,rise_ps_3abf5b8d-91f0-59af-aae2-ab0e8612d45e,University of Oklahoma College of Medicine Program,Emergency Medicine,Oklahoma City,OK,Initial Accreditation,08/27/2026,2026-2027,true
