acgme_program_id,program_specialty_id,program_name,specialty,state,research_state,priority_domains,paid_research_launched
0400300002,rise_ps_e19b8678-b4a1-5de4-bf90-e77c937cf65b,University of Arizona College of Medicine - Phoenix Program,Anesthesiology,AZ,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
0401100006,rise_ps_c6fa4e0d-7c4c-57dd-951f-e3f5b5d045aa,BayCare Health System (St. Joseph's Hospital) Program,Anesthesiology,FL,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
0401100008,rise_ps_72d54689-5d9b-5a78-a82c-0b6221cd432d,Florida International University/Baptist Health Program,Anesthesiology,FL,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
0401100009,rise_ps_ab16ced9-4912-5b02-b3ca-adad6c1115ce,AdventHealth Florida Program,Anesthesiology,FL,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
0403600002,rise_ps_4272af0d-988b-5a0f-8aaf-400dadd56511,Carolinas Medical Center Program,Anesthesiology,NC,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
0404100004,rise_ps_50a2a7cf-0d19-5b70-adca-82dc04143149,Wellspan Health Program,Anesthesiology,PA,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
0600500001,rise_ps_1cd09461-d0d9-5e75-9758-bb7ebfd0102e,Stanford Health Care Program,Colon and Rectal Surgery,CA,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
0600500002,rise_ps_b8d28a12-4fd1-548a-b3fd-5c85d03e902c,Loma Linda University Health Education Consortium Program,Colon and Rectal Surgery,CA,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
0605600002,rise_ps_6e5597d7-efd3-524c-b472-50a0c39bd1ac,"Medical College of Wisconsin Affiliated Hospitals, Inc Program",Colon and Rectal Surgery,WI,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
1100300003,rise_ps_77a9df0c-696d-5c19-a553-9ff00f653547,Mayo Clinic College of Medicine and Science (Phoenix) Program,Emergency Medicine,AZ,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
1102400001,rise_ps_22381d5f-c84f-5ec5-b7f9-8d22e1aba5dc,Lahey Clinic Program,Emergency Medicine,MA,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
1102500001,rise_ps_7c6c1468-cea0-5a86-b6c9-a24719eb119b,McLaren Health Care Corporation/McLaren Flint Program,Emergency Medicine,MI,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
1103500006,rise_ps_389d2e31-560a-52bf-92ff-0f46c0e10411,Jacobi Medical Center Program,Emergency Medicine,NY,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
1103800002,rise_ps_a6cb30b9-b250-5a94-9046-1bbf9c11a81e,Cleveland Clinic Foundation Program,Emergency Medicine,OH,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
1103900001,rise_ps_3abf5b8d-91f0-59af-aae2-ab0e8612d45e,University of Oklahoma College of Medicine Program,Emergency Medicine,OK,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
1104800006,rise_ps_4f6a92cd-3306-517f-863f-00f782411654,Methodist Healthcare System of San Antonio Program,Emergency Medicine,TX,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
1200100003,rise_ps_437b259f-0448-569b-8c02-db35c554f1d0,University of Alabama Hospital Program,Family Medicine,AL,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
1200300007,rise_ps_875136cc-0748-5f06-9eb0-9febaee1da86,Arizona AHEC Primary Care Consortium Program,Family Medicine,AZ,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
1200500019,rise_ps_b7e379c6-cf05-557f-ba3d-9d7c80a867fb,Good Samaritan Hospital Program,Family Medicine,CA,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
1200500020,rise_ps_f0b6fd83-2da0-5671-bf39-e82c04e62fa0,Kern Medical Center Program,Family Medicine,CA,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
1200500025,rise_ps_ec5c0ec6-245a-5db4-b91d-501c24d25717,Sharp Grossmont Hospital Program,Family Medicine,CA,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
1201600004,rise_ps_d925ecc0-5407-5023-a856-c40f03728a25,University of Illinois College of Medicine at Peoria (Galesburg) Program,Family Medicine,IL,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
1201600008,rise_ps_70fdc9eb-a48c-5572-ab19-d60918a73fe0,University of Chicago Medical Center/Ingalls Memorial Hospital Program,Family Medicine,IL,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
1201700004,rise_ps_706ecf7b-60ab-5a4f-9392-dd1f0b16a026,Indiana University School of Medicine (Merrillville) Program,Family Medicine,IN,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
1202600003,rise_ps_03bdf47e-7799-5149-a213-6ddbbcaf760f,University of Minnesota/Lakewood Alex Health System Program MD,Family Medicine,MN,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
1204200003,rise_ps_464168bf-c59a-54b2-a6d4-d2c730967cbb,Ponce Health Sciences University Program,Family Medicine,PR,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
1204500005,rise_ps_fe6729a5-f8a0-5bc5-ba8f-aff4f1b4e307,Medical University of South Carolina College of Medicine (Orangeburg) Program,Family Medicine,SC,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
1204800015,rise_ps_425bb711-15e4-5b06-9cd8-5a44fdb076c5,Prime South GME Consortium Program,Family Medicine,TX,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
1204800016,rise_ps_a08e70f2-591d-58c1-b5a3-e32610ed5c5c,University of Texas Rio Grande Valley Program,Family Medicine,TX,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
1304500001,rise_ps_78bf0331-879f-55cc-a2d9-f3594b651cd0,Medical University of South Carolina College of Medicine Program,Medical Genetics and Genomics,SC,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
1305100003,rise_ps_654c774a-d885-59cf-8641-d7ba371175b7,University of Virginia Medical Center Program,Medical Genetics and Genomics,VA,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
1401200010,rise_ps_c768e1a2-220b-5ea4-ab83-b64b68f3af9e,Wellstar Health System/Paulding Hospital Program,Internal Medicine,GA,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
1402100004,rise_ps_e8b6dcd0-9e68-5b3a-8188-3faa916d4236,Ochsner Lafayette General Medical Zia Center Program MPH,Internal Medicine,LA,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
1402800005,rise_ps_915799bf-aed6-5cc2-9070-43e9cae72021,Mercy Hospital Springfield Program,Internal Medicine,MO,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
1403500008,rise_ps_31f502e5-7e47-5ec0-93db-a7a61d86cd53,Catholic Health Program,Internal Medicine,NY,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
1403800002,rise_ps_64f703f6-6691-595b-837f-b3e7c90a09b1,"Western Reserve Health Education, Inc. Program",Internal Medicine,PA,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
1404800011,rise_ps_13d55b4e-6ec9-5b3d-9ab5-cf06c2a2c7eb,St. David's Healthcare Graduate Medical Education Program,Internal Medicine,TX,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
1404800021,rise_ps_ce7d124e-b81d-5b82-893f-efd2618e9d41,Carrollton Regional Medical Center An Program,Internal Medicine,TX,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
1603300001,rise_ps_b378dcaa-5291-5900-8b5e-e61b6aee76bb,Hackensack Meridian Health Program,Neurological Surgery,NJ,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
1800500007,rise_ps_06ded9c4-8d4c-55ed-a17d-8aab495db28a,Keck School of Medicine of USC Program,Neurology,CA,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
1801400001,rise_ps_4eecc265-a511-549e-91e0-d85f7ce0107a,University of Hawaii John A Burns School of Medicine Program,Neurology,HI,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
1805100001,rise_ps_a7c3aca7-b3a5-540d-a8fe-b983c0474a46,Mary Washington Healthcare Program,Neurology,VA,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
1853000001,rise_ps_137b0d33-1046-5de4-9fca-348282f20e17,University of Nebraska Medical Center College of Medicine Program,Child Neurology,NE,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
2000300002,rise_ps_be4453a4-97cf-54af-ad03-b4d967af565f,University of Arizona College of Medicine-Tucson Program,Nuclear Medicine,AZ,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
2200500005,rise_ps_e4bbe238-b955-552f-a311-052247706007,Riverside University Health System As Program,Obstetrics and Gynecology,CA,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
2201100005,rise_ps_63bd6df8-1f1a-555a-a523-b72b7d50d089,BayCare Health System Program,Obstetrics and Gynecology,FL,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
2201100008,rise_ps_2a9d1bcb-8187-5c61-bf10-66df3b63e519,Broward Health Program,Obstetrics and Gynecology,FL,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
2201200001,rise_ps_fe8c7add-8bae-58ac-8cc9-7b0046e40ae5,Tift Regional Health System Program,Obstetrics and Gynecology,GA,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
2401177001,rise_ps_0267507d-027c-5442-8130-d8366460ecc7,Mayo Clinic College of Medicine and Science (Jacksonville) Program,Ophthalmology,FL,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
2404877001,rise_ps_6103bba8-c366-5ea1-8b46-3ba6e577d81a,Texas Institute for Graduate Medical Education and Research (TIGMER) Program,Ophthalmology,TX,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
2603300004,rise_ps_b52fa939-8a01-5b8a-ad38-64fb697339ff,New York Medical College Program Vinc MD,Orthopaedic Surgery,NJ,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
2604100001,rise_ps_66885d08-26a3-5438-81d3-b16db4763f2a,Lehigh Valley Health Network Program,Orthopaedic Surgery,PA,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
2754800004,rise_ps_594e685b-abbe-524c-8fe8-4d060c427b71,Sam Houston Regional Education Consortium Program,Osteopathic Neuromusculoskeletal Medicine,TX,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
3000300001,rise_ps_a458f9e7-a277-5e14-b1c2-be3075127979,Mayo Clinic College of Medicine and Science (Phoenix) Program,Pathology-Anatomic and Clinical,AZ,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
3000800001,rise_ps_253b248c-611f-5d10-a285-64decea5eed1,University of Connecticut School of Medicine Program,Pathology-Anatomic and Clinical,CT,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
3204700001,rise_ps_118536c4-b678-5e6e-9775-16667f3d7d86,University of Tennessee Graduate School of Medicine Program,Pediatrics,TN,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
3400300002,rise_ps_767e9a93-2517-5a31-ba1b-b482eeb3efbc,Mayo Clinic College of Medicine and Science (Phoenix) Program,Physical Medicine and Rehabilitation,AZ,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
3402700001,rise_ps_f44e6368-acae-54e9-b1ee-76829f01ac19,University of Mississippi School of J Medicine Program H,Physical Medicine and Rehabilitation,MS,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
3800400001,rise_ps_f4bc337a-5a1c-57ff-9fe8-256b4c7fb9d2,University of Arkansas for Medical Ba Sciences (UAMS) College of Medicine Program,Public Health and General Preventive Medicine,AR,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
3834800002,rise_ps_55cd546f-6528-5156-83c3-0d2c9dac0a3c,Texas A&M University Naresh K. Vashisht College of Medicine Program,Aerospace Medicine,TX,ELIGIBLE,eligibility|exams|visa|YOG|USCE|deadline|leadership|positions|curriculum|start_year|official_url,false
