acgme_id,rise_program_id,program_name,institution,city,state,source_ticket,adversarially_validated,resident_roster_total,resident_classified_total,resident_unclassified_total,us_md_count,do_count,img_count,caribbean_img_count,img_other_count,other_or_unresolved_count,us_md_pct_of_classified,do_pct_of_classified,img_pct_of_classified,caribbean_img_pct_of_classified,classified_coverage_pct_of_roster,roster_snapshot_date_or_cycle,composition_type,official_program_statistic,denominator_basis,unknowns_excluded_from_percentage,estimate_method,estimate_confidence,disclaimer,percentages_available,source_urls
1804800001,RISE-NEURO-0247,University of Texas at Austin Dell Medical School/Ascension Seton Medical Center Program,University of Texas at Austin Dell Medical School,Austin,TX,P1-RISE-ALEJANDRA-NEURO-TX-OPUS5-STAGEB-007,NO,16,16,0,13,3,0,0,0,0,81.2,18.8,0.0,0.0,100.0,AY 2026-2027 (retrieved 2026-09-11; includes the PGY-1 class that began July 2026),ROSTER_DERIVED_ESTIMATE,False,CLASSIFIED_RESIDENTS,True,"Per-resident classification from the program's own published roster using institution-based rules only (school string and, where published, degree suffix). Puerto Rico LCME schools classify as US_MD. Caribbean is an IMG subtype. No inference from any person's name, ethnicity, language or nationality.",HIGH,"Estimated from the residency roster published by the program. No official program-level MD/DO/IMG composition statistic was available. Percentages are a best estimate based on identifiable resident medical schools and/or degree designations shown on the roster, and may be incomplete where resident background is not published.",True,https://dellmed.utexas.edu/education/academics/graduate-medical-education/neurology-residency/resident-listing
1804800004,RISE-NEURO-0251,University of Texas Health Science Center at Tyler Program,University of Texas Health Science Center at Tyler,Tyler,TX,P1-RISE-ALEJANDRA-NEURO-TX-OPUS5-STAGEB-007,NO,8,0,8,0,0,0,0,0,8,,,,,0.0,AY2026-2027 (page read 2026-09-11),ROSTER_DERIVED_ESTIMATE,False,CLASSIFIED_RESIDENTS,True,"Per-resident classification from the program's own published roster using institution-based rules only (school string and, where published, degree suffix). Puerto Rico LCME schools classify as US_MD. Caribbean is an IMG subtype. No inference from any person's name, ethnicity, language or nationality.",LOW,"Estimated from the residency roster published by the program. No official program-level MD/DO/IMG composition statistic was available. Percentages are a best estimate based on identifiable resident medical schools and/or degree designations shown on the roster, and may be incomplete where resident background is not published.",False,https://www.uttyler.edu/academics/colleges-schools/medicine/departments/graduate-medical-education/neurology-residency/current-residents/index.php
1804800005,RISE-NEURO-0039,"Doctors Hospital At Renaissance, Ltd. Program",Doctors Hospital at Renaissance Ltd,Edinburg,TX,P1-RISE-ALEJANDRA-NEURO-TX-OPUS5-BENCH-006A,NO,6,6,0,0,0,6,2,4,0,0.0,0.0,100.0,33.3,100.0,,ROSTER_DERIVED_ESTIMATE,False,CLASSIFIED_RESIDENTS,True,"Per-resident classification from the program's own published roster using institution-based rules only (school string and, where published, degree suffix). Puerto Rico LCME schools classify as US_MD. Caribbean is an IMG subtype. No inference from any person's name, ethnicity, language or nationality.",HIGH,"Estimated from the residency roster published by the program. No official program-level MD/DO/IMG composition statistic was available. Percentages are a best estimate based on identifiable resident medical schools and/or degree designations shown on the roster, and may be incomplete where resident background is not published.",True,https://dhrhealth.com/education/graduate-medical-education/neurology-residency-program
1804800006,RISE-NEURO-0010,Baylor University Medical Center Program,Baylor University Medical Center,Dallas,TX,P1-RISE-ALEJANDRA-NEURO-TX-OPUS5-STAGEB-007,NO,0,0,0,0,0,0,0,0,0,,,,,,2026-2027 (academic year in progress at retrieval),ROSTER_DERIVED_ESTIMATE,False,CLASSIFIED_RESIDENTS,True,"Per-resident classification from the program's own published roster using institution-based rules only (school string and, where published, degree suffix). Puerto Rico LCME schools classify as US_MD. Caribbean is an IMG subtype. No inference from any person's name, ethnicity, language or nationality.",NONE_NO_ROSTER,"Estimated from the residency roster published by the program. No official program-level MD/DO/IMG composition statistic was available. Percentages are a best estimate based on identifiable resident medical schools and/or degree designations shown on the roster, and may be incomplete where resident background is not published.",False,
1804800167,RISE-NEURO-0009,Baylor Scott & White Medical Center - Baylor College of Medicine (Temple) Program,Baylor Scott & White Medical Center - Baylor College of Medicine (Temple),Temple,TX,P1-RISE-ALEJANDRA-NEURO-TX-OPUS5-STAGEB-007,NO,20,20,0,11,6,3,1,2,0,55.0,30.0,15.0,5.0,100.0,"2026-2027 academic year, directory read 2026-09-11",ROSTER_DERIVED_ESTIMATE,False,CLASSIFIED_RESIDENTS,True,"Per-resident classification from the program's own published roster using institution-based rules only (school string and, where published, degree suffix). Puerto Rico LCME schools classify as US_MD. Caribbean is an IMG subtype. No inference from any person's name, ethnicity, language or nationality.",HIGH,"Estimated from the residency roster published by the program. No official program-level MD/DO/IMG composition statistic was available. Percentages are a best estimate based on identifiable resident medical schools and/or degree designations shown on the roster, and may be incomplete where resident background is not published.",True,https://www.bswhealth.com/medical-professionals/education/graduate-medical-education/temple/neurology-residency/faculty-and-residents
1804800168,RISE-NEURO-0166,Texas Tech University HSC El Paso Program,Texas Tech University HSC El Paso,El Paso,TX,P1-RISE-ALEJANDRA-NEURO-TX-OPUS5-STAGEB-007,NO,7,2,5,2,0,0,0,0,5,100.0,0.0,0.0,0.0,28.6,"Not stated by the program. Content evidence (an empty PGY-3 year, no PGY-1 section, and sibling pages referring to the 2023-2024 interview season) places the roster's content around academic year 2021-22 to 2023-24, republished unchanged during the 2026 CMS migration. It is NOT an AY2026-27 roster.",ROSTER_DERIVED_ESTIMATE,False,CLASSIFIED_RESIDENTS,True,"Per-resident classification from the program's own published roster using institution-based rules only (school string and, where published, degree suffix). Puerto Rico LCME schools classify as US_MD. Caribbean is an IMG subtype. No inference from any person's name, ethnicity, language or nationality.",LOW,"Estimated from the residency roster published by the program. No official program-level MD/DO/IMG composition statistic was available. Percentages are a best estimate based on identifiable resident medical schools and/or degree designations shown on the roster, and may be incomplete where resident background is not published.",True,https://ttuhscep.edu/som/academics/departments/neurology/education/residency-program/resident-profiles.aspx
1804800169,RISE-NEURO-0254,University of Texas Rio Grande Valley Program,University of Texas Rio Grande Valley,Harlingen,TX,P1-RISE-ALEJANDRA-NEURO-TX-OPUS5-BENCH-006A,NO,2,2,0,1,0,1,0,1,0,50.0,0.0,50.0,0.0,100.0,,ROSTER_DERIVED_ESTIMATE,False,CLASSIFIED_RESIDENTS,True,"Per-resident classification from the program's own published roster using institution-based rules only (school string and, where published, degree suffix). Puerto Rico LCME schools classify as US_MD. Caribbean is an IMG subtype. No inference from any person's name, ethnicity, language or nationality.",HIGH,"Estimated from the residency roster published by the program. No official program-level MD/DO/IMG composition statistic was available. Percentages are a best estimate based on identifiable resident medical schools and/or degree designations shown on the roster, and may be incomplete where resident background is not published.",True,https://www.utrgv.edu/newsroom/2025/11/03/utrgv-school-of-medicine-launches-%20neurology-residency-program-to-address-growing-healthcare-needs-in-the-rio-grande-valley.htm;https://www.utrgv.edu/som/gme/resident-directory/index.htm?department=neurology
1804811109,RISE-NEURO-0253,University of Texas Medical Branch Hospitals Program,University of Texas Medical Branch Hospitals,Galveston,TX,P1-RISE-ALEJANDRA-NEURO-TX-OPUS5-STAGEB-007,NO,29,29,0,3,5,21,0,21,0,10.3,17.2,72.4,0.0,100.0,"AY2026-27 (academic year beginning July 2026), verified current as of 2026-09-11",ROSTER_DERIVED_ESTIMATE,False,CLASSIFIED_RESIDENTS,True,"Per-resident classification from the program's own published roster using institution-based rules only (school string and, where published, degree suffix). Puerto Rico LCME schools classify as US_MD. Caribbean is an IMG subtype. No inference from any person's name, ethnicity, language or nationality.",HIGH,"Estimated from the residency roster published by the program. No official program-level MD/DO/IMG composition statistic was available. Percentages are a best estimate based on identifiable resident medical schools and/or degree designations shown on the roster, and may be incomplete where resident background is not published.",True,https://www.utmb.edu/neuro/education/residency-program/our-team
1804812156,RISE-NEURO-0248,University of Texas at Austin Dell Medical School/Dell Seton Medical Center Program,University of Texas at Austin Dell Medical School,Austin,TX,P1-RISE-ALEJANDRA-NEURO-TX-OPUS5-STAGEB-007,NO,24,24,0,16,6,2,0,2,0,66.7,25.0,8.3,0.0,100.0,"AY2026-2027 roster as published on the program site and retrieved 2026-09-11 (PGY-1 cohort in place, consistent with a June 2026 start)",ROSTER_DERIVED_ESTIMATE,False,CLASSIFIED_RESIDENTS,True,"Per-resident classification from the program's own published roster using institution-based rules only (school string and, where published, degree suffix). Puerto Rico LCME schools classify as US_MD. Caribbean is an IMG subtype. No inference from any person's name, ethnicity, language or nationality.",HIGH,"Estimated from the residency roster published by the program. No official program-level MD/DO/IMG composition statistic was available. Percentages are a best estimate based on identifiable resident medical schools and/or degree designations shown on the roster, and may be incomplete where resident background is not published.",True,https://dellmed.utexas.edu/education/academics/graduate-medical-education/neurology-residency/resident-listing
1804812160,RISE-NEURO-0065,Houston Methodist Hospital (Medical Center) Program,Houston Methodist Hospital,Houston,TX,P1-RISE-ALEJANDRA-NEURO-TX-OPUS5-BENCH-006A,NO,29,28,1,14,0,14,0,14,1,50.0,0.0,50.0,0.0,96.6,,ROSTER_DERIVED_ESTIMATE,False,CLASSIFIED_RESIDENTS,True,"Per-resident classification from the program's own published roster using institution-based rules only (school string and, where published, degree suffix). Puerto Rico LCME schools classify as US_MD. Caribbean is an IMG subtype. No inference from any person's name, ethnicity, language or nationality.",HIGH,"Estimated from the residency roster published by the program. No official program-level MD/DO/IMG composition statistic was available. Percentages are a best estimate based on identifiable resident medical schools and/or degree designations shown on the roster, and may be incomplete where resident background is not published.",True,https://www.houstonmethodist.org/api/faculty/directory/
