acgme_id,rise_program_id,program_name,state,nrmp_code,nrmp_institution_code,position_type,track_status,prelim_dependency,senior_student_eligible,attribution_basis,adversarially_validated
1804800001,RISE-NEURO-0247,University of Texas at Austin Dell Medical School/Ascension Seton Medical Center Program,TX,1793180C0,1793,CATEGORICAL,UNSPECIFIED,NO,YES,DOSSIER_WIDE_NO_DISCLAIMING_CONTEXT,NO
1804800001,RISE-NEURO-0247,University of Texas at Austin Dell Medical School/Ascension Seton Medical Center Program,TX,1793180C1,1793,CATEGORICAL,UNSPECIFIED,NO,YES,DOSSIER_WIDE_NO_DISCLAIMING_CONTEXT,NO
1804800004,RISE-NEURO-0251,University of Texas Health Science Center at Tyler Program,TX,3626180R0,3626,RESERVED_PHYSICIAN,UNSPECIFIED,,NO - NRMP defines R as reserved for physicians with prior graduate medical education,DOSSIER_WIDE_NO_DISCLAIMING_CONTEXT,NO
1804800005,RISE-NEURO-0039,"Doctors Hospital At Renaissance, Ltd. Program",TX,2353180C0,2353,CATEGORICAL,UNSPECIFIED,NO,YES,DOSSIER_WIDE_NO_DISCLAIMING_CONTEXT,NO
1804800005,RISE-NEURO-0039,"Doctors Hospital At Renaissance, Ltd. Program",TX,2353180R0,2353,RESERVED_PHYSICIAN,UNSPECIFIED,,NO - NRMP defines R as reserved for physicians with prior graduate medical education,DOSSIER_WIDE_NO_DISCLAIMING_CONTEXT,NO
1804800006,RISE-NEURO-0010,Baylor University Medical Center Program,TX,,,RESEARCHED_NOT_PUBLIC,,,UNSPECIFIED,no NRMP code stated in this program's own identity evidence,NO
1804800167,RISE-NEURO-0009,Baylor Scott & White Medical Center - Baylor College of Medicine (Temple) Program,TX,1725180C0,1725,CATEGORICAL,UNSPECIFIED,NO,YES,DOSSIER_WIDE_NO_DISCLAIMING_CONTEXT,NO
1804800167,RISE-NEURO-0009,Baylor Scott & White Medical Center - Baylor College of Medicine (Temple) Program,TX,1725180R0,1725,RESERVED_PHYSICIAN,UNSPECIFIED,,NO - NRMP defines R as reserved for physicians with prior graduate medical education,DOSSIER_WIDE_NO_DISCLAIMING_CONTEXT,NO
1804800168,RISE-NEURO-0166,Texas Tech University HSC El Paso Program,TX,1710180C0,1710,CATEGORICAL,UNSPECIFIED,NO,YES,DOSSIER_WIDE_NO_DISCLAIMING_CONTEXT,NO
1804800169,RISE-NEURO-0254,University of Texas Rio Grande Valley Program,TX,1825180C0,1825,CATEGORICAL,UNSPECIFIED,NO,YES,DOSSIER_WIDE_NO_DISCLAIMING_CONTEXT,NO
1804811109,RISE-NEURO-0253,University of Texas Medical Branch Hospitals Program,TX,1714180C0,1714,CATEGORICAL,UNSPECIFIED,NO,YES,DOSSIER_WIDE_NO_DISCLAIMING_CONTEXT,NO
1804812156,RISE-NEURO-0248,University of Texas at Austin Dell Medical School/Dell Seton Medical Center Program,TX,1793180C0,1793,CATEGORICAL,ACTIVE,NO,YES,DOSSIER_WIDE_NO_DISCLAIMING_CONTEXT,NO
1804812156,RISE-NEURO-0248,University of Texas at Austin Dell Medical School/Dell Seton Medical Center Program,TX,1793180C1,1793,CATEGORICAL,UNSPECIFIED,NO,YES,DOSSIER_WIDE_NO_DISCLAIMING_CONTEXT,NO
1804812160,RISE-NEURO-0065,Houston Methodist Hospital (Medical Center) Program,TX,1167180C0,1167,CATEGORICAL,UNSPECIFIED,NO,YES,DOSSIER_WIDE_NO_DISCLAIMING_CONTEXT,NO
1804813163,RISE-NEURO-0165,Texas Tech University Health Sciences Center at Lubbock Program,TX,,,RESEARCHED_NOT_PUBLIC,,,UNSPECIFIED,no NRMP code stated in this program's own identity evidence,NO
1804821108,RISE-NEURO-0256,University of Texas Southwestern Medical Center Program,TX,,,RESEARCHED_NOT_PUBLIC,,,UNSPECIFIED,no NRMP code stated in this program's own identity evidence,NO
1804821110,RISE-NEURO-0008,Baylor College of Medicine Program,TX,1716180R0,1716,RESERVED_PHYSICIAN,UNSPECIFIED,,NO - NRMP defines R as reserved for physicians with prior graduate medical education,DOSSIER_WIDE_NO_DISCLAIMING_CONTEXT,NO
1804821112,RISE-NEURO-0252,University of Texas Health Science Center San Antonio Joe and Teresa Lozano Long School of Medicine Program,TX,,,RESEARCHED_NOT_PUBLIC,,,UNSPECIFIED,no NRMP code stated in this program's own identity evidence,NO
1804821127,RISE-NEURO-0147,San Antonio Uniformed Services Health Education Consortium Program,TX,,,RESEARCHED_NOT_PUBLIC,,,UNSPECIFIED,no NRMP code stated in this program's own identity evidence,NO
1804831111,RISE-NEURO-0250,University of Texas Health Science Center at Houston Program,TX,,,RESEARCHED_NOT_PUBLIC,,,UNSPECIFIED,no NRMP code stated in this program's own identity evidence,NO
1801100001,RISE-NEURO-0057,HCA Florida Healthcare/Westside/Northwest Hospital Program,FL,2232180C0,2232,CATEGORICAL,UNSPECIFIED,NO,YES,DECLARED_NRMP_INSTITUTION_CODE_MATCH,YES_WAVE2
1801100001,RISE-NEURO-0057,HCA Florida Healthcare/Westside/Northwest Hospital Program,FL,2232180C1,2232,CATEGORICAL,UNSPECIFIED,NO,YES,DECLARED_NRMP_INSTITUTION_CODE_MATCH,YES_WAVE2
1801100002,RISE-NEURO-0046,Florida International University/Baptist Health Program,FL,2317180C0,2317,CATEGORICAL,UNSPECIFIED,NO,YES,DOSSIER_WIDE_NO_DISCLAIMING_CONTEXT,YES_WAVE1
1801100003,RISE-NEURO-0135,Orlando Health Program (Adult Neurology),FL,1107180C0,1107,CATEGORICAL,UNSPECIFIED,NO,YES,DECLARED_NRMP_INSTITUTION_CODE_MATCH,YES_WAVE3
1801100004,RISE-NEURO-0015,Broward Health Program (Adult Neurology); the program styles itself the 'Broward Health North Program' and the 'Broward Health Neurology Residency Program',FL,1892180C0,1892,CATEGORICAL,UNSPECIFIED,NO,YES,DECLARED_NRMP_INSTITUTION_CODE_MATCH,YES_WAVE2
1801100005,RISE-NEURO-0056,"HCA Florida Healthcare/Kendall Hospital Program - Neurology Residency Program, HCA Florida Kendall Hospital",FL,2232180C0,2232,CATEGORICAL,ACTIVE,NO,YES,DECLARED_NRMP_INSTITUTION_CODE_MATCH,YES_WAVE2
1801100005,RISE-NEURO-0056,"HCA Florida Healthcare/Kendall Hospital Program - Neurology Residency Program, HCA Florida Kendall Hospital",FL,2232180C1,2232,CATEGORICAL,UNSPECIFIED,NO,YES,DECLARED_NRMP_INSTITUTION_CODE_MATCH,YES_WAVE2
1801100008,RISE-NEURO-0002,AdventHealth Orlando Neurology Residency Program (registry: 'AdventHealth Florida Program'),FL,1102180C0,1102,CATEGORICAL,UNSPECIFIED,NO,YES,DECLARED_NRMP_INSTITUTION_CODE_MATCH,YES_WAVE3
1801100155,RISE-NEURO-0196,University of Central Florida/HCA Florida Healthcare (Greater Orlando/Osceola) Program - Adult Neurology,FL,1587180C0,1587,CATEGORICAL,UNSPECIFIED,NO,YES,DECLARED_NRMP_INSTITUTION_CODE_MATCH,YES_WAVE3
1801100156,RISE-NEURO-0080,Larkin Community Hospital Program,FL,1481180C0,1481,CATEGORICAL,UNSPECIFIED,NO,YES,DECLARED_NRMP_INSTITUTION_CODE_MATCH,YES_WAVE1
1801100157,RISE-NEURO-0045,Florida Atlantic University Charles E. Schmidt College of Medicine Program — Neurology,FL,1586180C0,1586,CATEGORICAL,UNSPECIFIED,NO,YES,DOSSIER_WIDE_NO_DISCLAIMING_CONTEXT,YES_WAVE2
1801100158,RISE-NEURO-0079,Larkin Community Hospital Palm Springs Campus Program,FL,2238180C0,2238,CATEGORICAL,UNSPECIFIED,NO,YES,DECLARED_NRMP_INSTITUTION_CODE_MATCH,YES_WAVE1
1801100159,RISE-NEURO-0109,Memorial Healthcare System (Hollywood Florida) Program,FL,2085180C0,2085,CATEGORICAL,ACTIVE,NO,YES,DECLARED_NRMP_INSTITUTION_CODE_MATCH,YES_WAVE2
1801100160,RISE-NEURO-0136,Palmetto General Hospital Program,FL,2121180C0,2121,CATEGORICAL,UNSPECIFIED,NO,YES,DECLARED_NRMP_INSTITUTION_CODE_MATCH,YES_WAVE1
1801112154,RISE-NEURO-0203,University of Florida College of Medicine Jacksonville Program - Neurology,FL,1101180A0,1101,ADVANCED,UNSPECIFIED,YES - ADVANCED track entered at PGY-2; requires a separately matched preliminary year,YES,DECLARED_NRMP_INSTITUTION_CODE_MATCH,YES_WAVE3
1801112154,RISE-NEURO-0203,University of Florida College of Medicine Jacksonville Program - Neurology,FL,1101180R0,1101,RESERVED_PHYSICIAN,UNSPECIFIED,,NO - NRMP defines R as reserved for physicians with prior graduate medical education,DECLARED_NRMP_INSTITUTION_CODE_MATCH,YES_WAVE3
1801113148,RISE-NEURO-0095,Mayo Clinic College of Medicine and Science (Jacksonville) Program - Adult Neurology Residency (Florida),FL,1032180C0,1032,CATEGORICAL,WITHDRAWN,NO,YES,DOSSIER_WIDE_NO_DISCLAIMING_CONTEXT,YES_WAVE1
1801113148,RISE-NEURO-0095,Mayo Clinic College of Medicine and Science (Jacksonville) Program - Adult Neurology Residency (Florida),FL,1032180R0,1032,RESERVED_PHYSICIAN,WITHDRAWN,,NO - NRMP defines R as reserved for physicians with prior graduate medical education,DOSSIER_WIDE_NO_DISCLAIMING_CONTEXT,YES_WAVE1
