source_id,acgme_id,rise_program_id,program_name,state,domain,url,source_type,source_date,retrieved_at,confidence,domain_status
1804800001-S001,1804800001,RISE-NEURO-0247,University of Texas at Austin Dell Medical School/Ascension Seton Medical Center Program,TX,1_identity_structure,https://dellmed.utexas.edu/education/academics/graduate-medical-education/neurology-residency/application-details,OFFICIAL_PROGRAM,,2026-09-11,HIGH,VERIFIED
1804800001-S002,1804800001,RISE-NEURO-0247,University of Texas at Austin Dell Medical School/Ascension Seton Medical Center Program,TX,1_identity_structure,https://dellmed.utexas.edu/education/academics/graduate-medical-education/neurology-residency/directors-welcome,OFFICIAL_PROGRAM,,2026-09-11,HIGH,VERIFIED
1804800001-S003,1804800001,RISE-NEURO-0247,University of Texas at Austin Dell Medical School/Ascension Seton Medical Center Program,TX,1_identity_structure,https://dellmed.utexas.edu/education/academics/graduate-medical-education/neurology-residency/curriculum,OFFICIAL_PROGRAM,,2026-09-11,HIGH,VERIFIED
1804800001-S004,1804800001,RISE-NEURO-0247,University of Texas at Austin Dell Medical School/Ascension Seton Medical Center Program,TX,1_identity_structure,https://freida.ama-assn.org/program/1804800001,OFFICIAL_PROGRAM,,2026-09-11,HIGH,VERIFIED
1804800001-S005,1804800001,RISE-NEURO-0247,University of Texas at Austin Dell Medical School/Ascension Seton Medical Center Program,TX,1_identity_structure,https://dellmed.utexas.edu/units/department-of-neurology,OFFICIAL_PROGRAM,,2026-09-11,HIGH,VERIFIED
1804800001-S006,1804800001,RISE-NEURO-0247,University of Texas at Austin Dell Medical School/Ascension Seton Medical Center Program,TX,1_identity_structure,https://dellmed.utexas.edu/education/academics/graduate-medical-education,OFFICIAL_PROGRAM,,2026-09-11,HIGH,VERIFIED
1804800001-S007,1804800001,RISE-NEURO-0247,University of Texas at Austin Dell Medical School/Ascension Seton Medical Center Program,TX,1_identity_structure,https://dellmed.utexas.edu/education/academics/graduate-medical-education/neurology-residency/team,OFFICIAL_PROGRAM,,2026-09-11,HIGH,VERIFIED
1804800001-S001,1804800001,RISE-NEURO-0247,University of Texas at Austin Dell Medical School/Ascension Seton Medical Center Program,TX,2_visa,https://dellmed.utexas.edu/education/academics/graduate-medical-education/neurology-residency/application-details,OFFICIAL_PROGRAM,,2026-09-11,HIGH,VERIFIED
1804800001-S004,1804800001,RISE-NEURO-0247,University of Texas at Austin Dell Medical School/Ascension Seton Medical Center Program,TX,2_visa,https://freida.ama-assn.org/program/1804800001,OFFICIAL_PROGRAM,,2026-09-11,HIGH,VERIFIED
1804800001-S001,1804800001,RISE-NEURO-0247,University of Texas at Austin Dell Medical School/Ascension Seton Medical Center Program,TX,3_step1_policy,https://dellmed.utexas.edu/education/academics/graduate-medical-education/neurology-residency/application-details,OFFICIAL_PROGRAM,,2026-09-11,HIGH,VERIFIED
1804800001-S004,1804800001,RISE-NEURO-0247,University of Texas at Austin Dell Medical School/Ascension Seton Medical Center Program,TX,3_step1_policy,https://freida.ama-assn.org/program/1804800001,OFFICIAL_PROGRAM,,2026-09-11,HIGH,VERIFIED
1804800001-S001,1804800001,RISE-NEURO-0247,University of Texas at Austin Dell Medical School/Ascension Seton Medical Center Program,TX,4_step2_requirement_minimum,https://dellmed.utexas.edu/education/academics/graduate-medical-education/neurology-residency/application-details,OFFICIAL_PROGRAM,,2026-09-11,HIGH,VERIFIED
1804800001-S004,1804800001,RISE-NEURO-0247,University of Texas at Austin Dell Medical School/Ascension Seton Medical Center Program,TX,4_step2_requirement_minimum,https://freida.ama-assn.org/program/1804800001,OFFICIAL_PROGRAM,,2026-09-11,HIGH,VERIFIED
