field,projection,provenance_category,source,production_action,notes
RISE_ID,INTERNAL_FULL_RISE,E,FREIDA-derived canonical workbook,EXCLUDE,Retained internally; never exposed by the student release.
Specialty,INTERNAL_FULL_RISE,E,FREIDA-derived canonical workbook,EXCLUDE,Retained internally; never exposed by the student release.
Program Name,INTERNAL_FULL_RISE,E,FREIDA-derived canonical workbook,EXCLUDE,Retained internally; never exposed by the student release.
Institution,INTERNAL_FULL_RISE,E,FREIDA-derived canonical workbook,EXCLUDE,Retained internally; never exposed by the student release.
Hospital,INTERNAL_FULL_RISE,E,FREIDA-derived canonical workbook,EXCLUDE,Retained internally; never exposed by the student release.
City,INTERNAL_FULL_RISE,E,FREIDA-derived canonical workbook,EXCLUDE,Retained internally; never exposed by the student release.
State,INTERNAL_FULL_RISE,E,FREIDA-derived canonical workbook,EXCLUDE,Retained internally; never exposed by the student release.
Zip,INTERNAL_FULL_RISE,E,FREIDA-derived canonical workbook,EXCLUDE,Retained internally; never exposed by the student release.
Region,INTERNAL_FULL_RISE,E,FREIDA-derived canonical workbook,EXCLUDE,Retained internally; never exposed by the student release.
ACGME ID,INTERNAL_FULL_RISE,E,FREIDA-derived canonical workbook,EXCLUDE,Retained internally; never exposed by the student release.
NRMP Code,INTERNAL_FULL_RISE,E,FREIDA-derived canonical workbook,EXCLUDE,Retained internally; never exposed by the student release.
Program Website,INTERNAL_FULL_RISE,E,FREIDA-derived canonical workbook,EXCLUDE,Retained internally; never exposed by the student release.
Residency Explorer URL,INTERNAL_FULL_RISE,E,FREIDA-derived canonical workbook,EXCLUDE,Retained internally; never exposed by the student release.
FREIDA URL,INTERNAL_FULL_RISE,E,FREIDA-derived canonical workbook,EXCLUDE,Retained internally; never exposed by the student release.
Program Type,INTERNAL_FULL_RISE,E,FREIDA-derived canonical workbook,EXCLUDE,Retained internally; never exposed by the student release.
University Affiliated,INTERNAL_FULL_RISE,E,FREIDA-derived canonical workbook,EXCLUDE,Retained internally; never exposed by the student release.
Community,INTERNAL_FULL_RISE,E,FREIDA-derived canonical workbook,EXCLUDE,Retained internally; never exposed by the student release.
