field,source,current use,reason blocked,what permission/review would unblock it
RISE_ID,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Specialty,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Program Name,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Institution,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Hospital,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
City,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
State,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Zip,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Region,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
ACGME ID,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
NRMP Code,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Program Website,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Residency Explorer URL,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
FREIDA URL,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
Program Type,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
University Affiliated,FREIDA-derived canonical workbook,INTERNAL_FULL_RISE only,No written source-owner display/database grant is present; row-level provenance is FREIDA.,Written source-owner authorization or independent field re-verification from a rights-safe source with a recorded rights decision.
